status,giftCardId,merchantName,giftCardTitle,categorySlug,score,reason,evidence,candidates,officialUrl,websiteUrl
SAFE,cmta1ijyo00d2q8iymi2v9yma,Jonak,Ηλεκτρονική Δωροκάρτα - Jonak,fashion,115,,official-page:fashion | merchant-page:fashion | page-excerpt:fashion,fashion:115 | education:80,https://jonak.gr/,https://jonak.gr
SAFE,cmta1n88i00w2q8iyediptv4s,Kaelego,Gift card-50,home,107,,merchant-page:home-living | page-excerpt:home-living,home:107 | beauty:74,https://kaelego.gr/gift-card/,https://kaelego.gr
SAFE,cmta5npkk000t54iyjgkmw0i1,Kalina Concept Store,Kalina Concept Store - GIFT CARD,gifts-concept-stores,104,,identity:gift-concept | official-page:gift-concept | merchant-page:gift-concept | page-excerpt:gift-concept,gifts-concept-stores:104 | jewelry-watches:79 | spa-wellness:77 | fashion:70,https://kalinaconceptstore.gr/products/gift-card-kalina-concept-store?srsltid=AfmBOorgzWkZpfBaPYqqARKb9wop02LbcC_yk1o_0sVP6K0hJOkAJntx,https://kalinaconceptstore.gr
SAFE,cmta4ymsn001tsciyyvjfc8uf,Katsudo,Katsudo Gift Card,technology,114,,official-page:technology,technology:114 | spa-wellness:77 | fashion:70 | gifts-concept-stores:56,https://www.katsudo.gr/en/products/gift-voucher,https://katsudo.gr
SAFE,cmta1ilzk00d8q8iy2h8zeglu,Kazi,Gift Card 80,fashion,115,,official-page:fashion | merchant-page:fashion,fashion:115,https://kazi.gr/gift-card-519380-1.html,https://kazi.gr
SAFE,cmta4yop20021sciygr9rpkdk,Kolbo,KOLBO Gift Card,food-delivery,108,,official-page:food-drink | page-excerpt:food-drink,food-delivery:108 | experiences:62,https://kolbo.gr/en/products/kolbo-gift-card?srsltid=AfmBOorljYiSDILmbTbv5IYqJVTJ3BIQWqJMmP5o2yfij2eBr_vRbwZL,https://kolbo.gr
SAFE,cmtb785hb006bdkiyfv69uwot,Konstantinidis Dental,Konstantinidis Dental Gift Card,health-medical,132,,identity:medical-service | official-page:medical-service | merchant-page:medical-service | page-excerpt:medical-service,health-medical:132,https://www.konstantinidisdental.gr/gift-card/,https://konstantinidisdental.gr
SAFE,cmtb6e0nb0003i4iyoxrlm6gj,Koumoulia,Koumoulia Gift Card,education,125,,official-page:education | page-excerpt:education,education:125 | jewelry-watches:79 | beauty:74 | hotels:65 | experiences:62,https://www.koumoulia.gr/en/,https://koumoulia.gr
SAFE,cmtb78efu007idkiysrm7kvql,Kymasurf,Kymasurf Gift Card,sports,117,,official-page:sports-outdoor | merchant-page:sports-outdoor | page-excerpt:sports-outdoor,sports:117 | education:80 | experiences:62,https://kymasurf.gr/product-category/gift-card/,https://kymasurf.gr
SAFE,cmta1lvrh00quq8iyaebm9qht,Ladolea,Ladolea Gift Card,food-delivery,108,,official-page:food-drink | page-excerpt:food-drink,food-delivery:108 | corporate-gifts:85 | hotels:65,https://ladolea.gr/store/gift-card/gift-card/,https://ladolea.gr
SAFE,cmta1grv5006uq8iye4j038gk,Laloo,Laloo Gift Card 30€,beauty,114,,merchant-page:beauty | page-excerpt:beauty,beauty:114 | technology:69,https://laloo.gr/el/250-gift-cards,https://laloo.gr
SAFE,cmta4yr0v002bsciy3uqdyifr,Lanuit,Gift Cards - La Nuit,fashion,110,,merchant-page:fashion | page-excerpt:fashion,fashion:110,https://lanuit.gr/product-category/gift-cards/,https://lanuit.gr
SAFE,cmtb62m9i001394iyhpjrq5xk,Leparfum,Leparfum Gift Card,beauty,114,,merchant-page:beauty | page-excerpt:beauty,beauty:114 | home:67 | experiences:62,https://leparfum.com.gr/en/module/afgiftvoucher/default,https://leparfum.com.gr
SAFE,cmta1ma4m00seq8iy71vkx6rw,Lidon,Lidon Gift Card,jewelry-watches,124,,official-page:jewelry | merchant-page:jewelry | page-excerpt:jewelry,jewelry-watches:124,https://lidon.gr/product/gift-card/,https://lidon.gr
SAFE,cmtb6uw0e002o3giyafr6pxqp,Linson Moto,Linson Moto Gift Card,automotive,132,,identity:automotive | page-excerpt:automotive,automotive:132,https://linsonmoto.gr/dwrokarta-200,https://linsonmoto.gr
SAFE,cmtb786je006gdkiyxqepltuw,Loriot,Αγοράστε μία Δωροεπιταγή,fashion,110,,merchant-page:fashion | page-excerpt:fashion,fashion:110 | books:68 | home:67 | restaurants:66,https://www.loriot.gr/dorokarta,https://loriot.gr
SAFE,cmtb62mmg001594iyc4wmnrb6,Lousma,Lousma Gift Card,spa-wellness,122,,official-page:spa-wellness | merchant-page:spa-wellness | page-excerpt:spa-wellness,spa-wellness:122 | jewelry-watches:79 | beauty:74 | gaming:73 | technology:69,https://lousma.gr/el/gift-card/,https://lousma.gr
SAFE,cmta4yswj002jsciyi6a7q4zk,Lumiere,LUMIERE Gift Card,fashion,110,,merchant-page:fashion,fashion:110 | experiences:62,https://lumiere.com.gr/products/lumiere-gift-card?srsltid=AfmBOop8LODlfos-jdJdtkpieXgQeirm6v4B52leHsJfIVrfjcXwkHlP,https://lumiere.com.gr
SAFE,cmta1kuab00mqq8iyw8fqsoh4,Luvnroll,Gift Voucher,fashion,115,,official-page:fashion | merchant-page:fashion | page-excerpt:fashion,fashion:115 | experiences:62,https://luvnroll.com/,https://luvnroll.com
SAFE,cmtb7i3tj001804iyl1xal4vq,MATI Santorini,Gift Cards - MATI Santorini,jewelry-watches,124,,official-page:jewelry | merchant-page:jewelry | page-excerpt:jewelry,jewelry-watches:124 | experiences:102 | spa-wellness:77 | books:68 | travel:64,https://matiartgallery.com/gift-card/,https://matiartgallery.com
SAFE,cmta1iszf00e6q8iyhvyjlqm9,Marketfix,Gift Card Niyamas - Ηλεκτρονική Δωροκάρτα 20€,marketplaces,106,,official-page:marketplace | merchant-page:marketplace | page-excerpt:marketplace,marketplaces:106 | spa-wellness:77 | sports:72 | technology:69,https://marketfix.gr/,https://marketfix.gr
SAFE,cmta1itdc00e8q8iy8qkpk1e1,Materiaprima,Δωροκάρτα 70 - materiaprima,restaurants,111,,official-page:restaurant | page-excerpt:restaurant,restaurants:111 | books:68 | food-delivery:63,https://materiaprima.gr/product/gift-card-40e/,https://materiaprima.gr
SAFE,cmta1nf1t00wsq8iygfpp7r8t,Mediwellkalamata,Mediwellkalamata Gift Card,beauty,119,,official-page:beauty | merchant-page:beauty | page-excerpt:beauty,beauty:119 | spa-wellness:77,https://www.mediwellkalamata.gr/giftcard/,https://mediwellkalamata.gr
SAFE,cmtb7i474001904iye9qfchj3,Monkees of Athens,Monkees of Athens Gift Card,fashion,110,,merchant-page:fashion | page-excerpt:fashion,fashion:110 | jewelry-watches:79,https://monkeesofathens.com/products/monkees-of-athens-gift-card,https://monkeesofathens.com
SAFE,cmtb62ncf001994iy7kzv2o19,Motorparts,Gift Cards,automotive,132,,identity:automotive | official-page:automotive | merchant-page:automotive | page-excerpt:automotive,automotive:132 | technology:69 | experiences:62,https://www.motorparts.com.gr/en/gift-cards/?srsltid,https://motorparts.com.gr
SAFE,cmta1j0st00f8q8iyavkhvjm3,Muststore,Gift Card | Must Store,fashion,110,,merchant-page:fashion | page-excerpt:fashion,fashion:110,https://www.muststore.gr/product/gift-card/,https://muststore.gr
SAFE,cmta1j29v00feq8iyhuj3tzwe,Myran,Myran Giftcard,home,107,,merchant-page:home-living | page-excerpt:home-living,home:107 | experiences:62,https://myran.gr/giftcard/,https://myran.gr
