"bucket","merchant","title","values","proposedMerchant","reason","websiteUrl","officialUrl"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Tacticalstore","Δωροκάρτα 50€ Tactical Store – Digital Gift Card - Tacticalstore ...","50","Tacticalstore","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://tacticalstore.gr","https://www.tacticalstore.gr/product/dorokarta-tactical-store-100e-pro-gift-card/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Thomann","Thomann Gift Certificate 50 EUR","50","Thomann","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://thomann.de","https://www.thomann.de/gr/index.html"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Topgreekwines","Gift voucher 50€","50","Topgreekwines","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://topgreekwines.gr","https://www.topgreekwines.gr/en-gb/gift-voucher-50%E2%82%AC-wines.html"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Turritella","Δωροκάρτα 50€ - Turritella","50","Turritella","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://turritella.gr","https://turritella.gr/giftcards/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Undergroundshop","GIFTCARD 10 EURO GIFTCARD_1","10","Undergroundshop","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://undergroundshop.gr","https://undergroundshop.gr/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Vinylartclothing","Vinyl gift card 40€","40","Vinylartclothing","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://vinylartclothing.gr","https://vinylartclothing.gr/products/gift-card-40"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Wine24shop","Gift Card 20 euro - Wine24shop","20","Wine24shop","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://wine24shop.gr","https://www.wine24shop.gr/dorokarta-100-euro.el.aspx"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Yellowstars","Δωροκάρτα 20€ YellowStars","20","Yellowstars","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://yellowstars.gr","https://yellowstars.gr/category/dorokarta"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","iQueens","iQueens: Το Ιδανικό Δώρο! Δωροκάρτες από 20€ έως 400€","20|400","iQueens","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://iqueens.gr","https://www.iqueens.gr/el/dorokartes/309412-ilektroniko-kouponi-aksias-400-.html"
"NEEDS_MANUAL_REVIEW","Gift Voucher 100 EUR","Gift Voucher 100 EUR","100","","Merchant name is polluted but automatic brand recovery is not confident enough.","https://zador.gr","https://www.zador.gr/en/products/gift-voucher-100-eur"
"NEEDS_MANUAL_REVIEW","ΔΩΡΟΚΑΡΤΑ 100€","ΔΩΡΟΚΑΡΤΑ 100€","100","","Merchant name is polluted but automatic brand recovery is not confident enough.","https://hobbywood.gr","https://www.hobbywood.gr/GIFTCARD100"
