status,cardId,merchantId,merchantName,title,officialUrl,finalUrl,reasons,titleAmounts,urlAmounts,pageIdentity,priceEvidence,proposedCurrency,proposedValues,explicitDigitalEvidence,existingVariantCount
ERROR,cmta1fbd9001xq8iy16jadarj,cmta1fb6o001wq8iy33a59phq,Babydream,BABYDREAM ΔΩΡΟΕΠΙΤΑΓΗ 300,https://www.babydream.gr/,,PAGE_HTTP_403,300,,,,,,,0
REVIEW,cmta1fjhs002nq8iyk0isu1fk,cmta1fjbc002mq8iyuv5gz856,Bonsai Home,Bonsai Home Δωροκάρτα 10€,https://bonsaihome.gr/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b1/,https://bonsaihome.gr/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b1/,PAGE_IDENTITY_NOT_GIFT_CARD|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|DELIVERY_TYPE_UNRESOLVED,10,,ΔΩΡΟΚΑΡΤΑ - Bonsai Home|ΔΩΡΟΚΑΡΤΑ|Αρχική σελίδα,,EUR,,,0
REVIEW,cmta1fw7z003vq8iyw5wvrli7,cmta1fvwe003uq8iy6vknpigg,Camper,Δωροκάρτα Camper,https://www.camper.com/el_GR/men/bags-accessories/e-gift_card/camper-e-gift_card-PR148-001,https://www.camper.com/el_GR/men/bags-accessories/e-gift_card/camper-e-gift_card-PR148-001,PAGE_IDENTITY_NOT_GIFT_CARD|URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED,,148,Τσάντες & Αξεσουάρ για Unisex-Συλλογή Φθινόπωρο/Χειμώνας - Camper Greece|Ηλεκτρονικη Δωροκαρτα|Ηλεκτρονικη Δωροκαρτα by Camper|Camper|B Corp Certification|B Lab|Leather Working Group (LWG)|LWG,,,,Ηλεκτρονικη Δωροκαρτα,0
REVIEW,cmtb77zz5005ldkiyl90mvph8,cmtb77zu6005kdkiygwtlbq6b,Carrot Store,Carrot Store Gift Card,https://carrotstore.gr/gift-cards/150e-gift-card/,https://carrotstore.gr/gift-cards/150e-gift-card/,URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,,150,150€ Gift Card | Carrot Concept Store|150€ Gift Card|Carrot Concept Store,[object Object]|[object Object],,,,0
REVIEW,cmta1foot0035q8iyj3zj3bf1,cmta1foi10034q8iys3xdtw6v,Chicbee,Chicbee Δωροκάρτα 20€,https://chicbee.gr/product-category/dorokartes/,https://chicbee.gr/product-category/dorokartes/,TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|DELIVERY_TYPE_UNRESOLVED,20,,Δωροκάρτες - ChicBee|Αρχική|Δωροκάρτες|ChicBee|Αρχική σελίδα,,EUR,,,0
REVIEW,cmtb7718b000ldkiynw5j1q46,cmtb77130000kdkiy8nzwbibh,Cordella,Cordella Δωροκάρτα 500€,https://www.cordella.gr/shop/vendor/cordella,https://www.cordella.gr/shop/vendor/cordella,PAGE_IDENTITY_NOT_GIFT_CARD|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|DELIVERY_TYPE_UNRESOLVED,500,,CORDELLA,,EUR,,,0
REVIEW,cmtb77v6h004vdkiy54z2aiui,cmtb77v1h004udkiyfr8vdjju,Cuka,Cuka Gift Card,https://cuka.gr/shop/new-collection-ss-26-all/gift-card-2/,https://cuka.gr/shop/new-collection-aw26-27-all/gift-card-2/,URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,,26,"Δωροκάρτα - Δεν ξέρεις τι δώρο να κάνεις σε ένα αγαπημένο σου πρόσωπο? Τώρα μπορείς να του χαρίσεις μία Gift Card ώστε να κάνει μόνος του τις αγορές του, με προϊόντα της επιλογής του! Αγοράζοντας μια Gift Card από το cuka.gr μπορείς να την χρησιμοποιήσεις σε αγορές όποια στιγμή εσύ επιθυμείς ή μπορείς να την κάνεις δώρο σε αγαπημένα σου πρόσωπα για να αγοράσουν ότι επιθυμούν. - Cuka Fashion|Δωροκάρτα – Δεν ξέρεις τι δώρο να κάνεις σε ένα αγαπημένο σου πρόσωπο? Τώρα μπορείς να του χαρίσεις μία Gift Card ώστε να κάνει μόνος του τις αγορές του, με προϊόντα της επιλογής του! Αγοράζοντας μια Gift Card από το cuka.gr μπορείς να την χρησιμοποιήσεις σε αγορές όποια στιγμή εσύ επιθυμείς ή μπορείς να την κάνεις δώρο σε αγαπημένα σου πρόσωπα για να αγοράσουν ότι επιθυμούν.",[object Object]|[object Object]|[object Object],,,,0
REVIEW,cmta1mtta00ugq8iy0fpw7nra,cmta1mtmv00ufq8iy7t79x1wg,Dalis,Dalis Gift Card 20€,https://dalis.gr/product-category/gift-cards/,https://dalis.gr/product-category/gift-cards/,TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|DELIVERY_TYPE_UNRESOLVED,20,,Gift cards - Dali's Boutique|Gift cards|Αρχική σελίδα|Κατάστημα,,EUR,,,0
REVIEW,cmta1hvnc00aiq8iy7f43du8p,cmta1hv0400ahq8iy7wxjbo01,Dbsounds,e-Gift Card (Hλεκτρονική Δωροκάρτα) 500€,https://dbsounds.gr/,https://www.dbsounds.gr/,PAGE_IDENTITY_NOT_GIFT_CARD|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|DELIVERY_TYPE_UNRESOLVED,500,,"dB sounds Μουσικά όργανα, εξοπλισμός DJ, αξεσουάρ και αναλώσιμα στις καλύτερες τιμές της αγοράς.",,EUR,,,0
ERROR,cmta1eutm0003q8iyh4fzlzqm,cmta1eump0002q8iypnb8sp6o,Decathlon Greece,Κάρτα Δώρου,https://www.decathlon.com.gr/el/content/36-gift-card,,PAGE_HTTP_403,,36,,,,,,0
REVIEW,cmta1hw4400akq8iykgucmned,cmta1hvy400ajq8iyj0su91kc,Decolight,Decolight Δωροκάρτα 20€,https://www.decolight.gr/index.php?route=account%2Fvoucher,https://www.decolight.gr/index.php?route=account%2Fvoucher,TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE,20,,Αγοράστε μία Δωροεπιταγή|Decolight.gr,,EUR,,E-mail παραληπτη,0
REVIEW,cmta1fa1z001rq8iyz9bikmb5,cmta1f9vp001qq8iy90mef58l,DigiShark,DigiShark Δωροκάρτα,https://digishark.gr/product/giftcard26/,https://digishark.gr/product/giftcard26/,URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,,26,Δωροκάρτα - DigiShark|Δωροκάρτα|DigiShark|Αρχική σελίδα|Δωροκάρτες,[object Object]|[object Object]|[object Object]|[object Object]|[object Object]|[object Object],,,,1
REVIEW,cmta1m6ad00s0q8iyjl5guf73,cmta1m63d00rzq8iyrm7v5cfk,Dromeasbikes,DromeasBikes Δωροεπιταγή 25€,https://dromeasbikes.gr/product-category/%CE%B4%CF%89%CF%81%CE%BF%CE%B5%CF%80%CE%B9%CF%84%CE%B1%CE%B3%CE%AD%CF%82/,https://dromeasbikes.gr/product-category/%CE%B4%CF%89%CF%81%CE%BF%CE%B5%CF%80%CE%B9%CF%84%CE%B1%CE%B3%CE%AD%CF%82/,TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|DELIVERY_TYPE_UNRESOLVED,25,,Δωροεπιταγές – DromeasBikes|Δωροεπιταγές,,EUR,,,0
REVIEW,cmta1fnc4002zq8iy3yrpxjfz,cmta1fn4k002yq8iypmw8rapu,Ekklisiastika Karditsa,Κολώνας Δωροκάρτα 50,https://ekklisiastikakarditsa.gr/,https://ekklisiastikakarditsa.gr/,PAGE_IDENTITY_NOT_GIFT_CARD|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,50,,Εκκλησιαστικά Είδη Καρδίτσα - Κολώνας|Εκκλησιαστικά Είδη Καρδίτσα – Κολώνας|Αρχική|Εκκλησιαστικά Είδη Καρδίτσα,,,,,0
ERROR,cmta1myap00uyq8iy05wx63jv,cmta1my4200uxq8iyrtkh2ksx,Enchriso,100€ gift card - Κοσμήματα En Chriso,https://enchriso.gr/,,fetch failed,100,,,,EUR,,,0
REVIEW,cmta4yh9u0017sciy4yb84cy2,cmta4yh320016sciyuh3ghceq,Familychef,GIFT CARDS – FamilyChef,https://familychef.gr/en/products/100-gift-card,https://familychef.gr/en/products/100-gift-card,URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,,100,GIFT CARDS – FamilyChef|GIFT CARDS,[object Object]|[object Object],,,,0
SUPPORTED_AS_IS,cmta1i8n300boq8iydt4qw67b,cmta1i8g400bnq8iyw7ifw6pq,Fantasea,Fantasea Δωροεπιταγή 100€,https://www.fantasea.gr/product/doroepitagi-100-1034/,https://www.fantasea.gr/product/doroepitagi-100-1034/,DELIVERY_TYPE_UNRESOLVED,100,100|1034,Δωροεπιταγή 100€ - Fantasea|Δωροεπιταγή 100€|Home|Κατάστημα|Fantasea|Αρχική σελίδα|Uncategorized|VARIOUS,[object Object],EUR,,,0
REVIEW,cmta1iad800bwq8iyw7ce55ti,cmta1ia7500bvq8iypdqd66ct,Funkymonkeyshoes,Funky Monkey Δωροκάρτα 30€ / 40€ / 50€,https://funkymonkeyshoes.gr/product/gift-card/,https://funkymonkeyshoes.gr/product/gift-card/,PAGE_IDENTITY_NOT_GIFT_CARD|DELIVERY_TYPE_UNRESOLVED,30|40|50,,ΔΩΡΟΚΑΡΤΑ 30€ | 40€ | 50€ | Παιδικά Παπούτσια | Funky Monkey|ΔΩΡΟΚΑΡΤΑ 30€ | 40€ | 50€|Αρχική|Παπούτσια Για Παιδιά|Funky Monkey Παιδικά Παπούτσια|Παιδικά Παπούτσια | Funky Monkey,[object Object]|[object Object]|[object Object]|[object Object]|[object Object],EUR,,,0
REVIEW,cmta1ezdj000jq8iyh7o6gmjd,cmta1ez7o000iq8iykgtqu8z5,GC-TECH,ΔΩΡΟΚΑΡΤΑ ΤΩΝ 10 - GIFT CARD,https://gctech.gr/,https://gctech.gr/,PAGE_IDENTITY_NOT_GIFT_CARD|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,10,,GCTECH | Επισκευές & Ανταλλακτικά Κινητών - Laptops - Accessories|GCTECH,,,,,0
ERROR,cmtb7774t001fdkiyhs33c0v6,cmtb776zn001edkiyarmmetay,God Bless Women,25 CHF Gift card,https://godblesswomen.gr/products/25-chf-gift-card/236339811/,,PAGE_HTTP_404,25,25,,,CHF,,,0
REVIEW,cmta1fk9b002pq8iyf5m36fcm,cmta1fk27002oq8iyhbxv0ee5,Grill me,Grill me Δωροκάρτα 50€,https://grillme.gr/gr/dorokarta,https://grillme.gr/gr/dorokarta,PAGE_IDENTITY_NOT_GIFT_CARD|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|DELIVERY_TYPE_UNRESOLVED,50,,ΔΩΡΟΚΑΡΤΑ Grill me BBQ|ΔΩΡΟΚΑΡΤΑ|Αρχική,,EUR,,,0
ERROR,cmta1icyu00c8q8iytwvndmek,cmta1icso00c7q8iyl4xfcphi,Harmanis,Δωροεπιταγή 300 ευρώ,https://harmanis.gr/,,PAGE_HTTP_403,300,,,,EUR,,,0
REVIEW,cmta1kqbn00maq8iyrbgsvpn7,cmta1kq4t00m9q8iynfm2daqb,Hobbylobby Yarns,Hobby Lobby Δωροεπιταγή 100€,https://www.hobbylobby-yarns.gr/product-category/doroepitages/,https://www.hobbylobby-yarns.gr/product-category/doroepitages/,TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|DELIVERY_TYPE_UNRESOLVED,100,,"Δωροεπιταγές - www.hobbylobby-yarns.gr|Δωροεπιταγές|Προϊόντα|Νήματα|Νήματα για πλέξιμο|Νήματα για τσάντες|Νήματα για κάλτσες|Νήματα Macramé|Νήματα για μαγιό|Υποαλλεργικά νήματα για μωρά|Κουβερτονήματα|Βαμβακερά νήματα, Καλοκαιρινά νήματα|Ολόμαλλα νήματα|Σύμμεικτα νήματα|Ακρυλικά νήματα|Ελληνικά νήματα|Ιταλικά νήματα|Kit Πλεξίματος|Νήματα σε προσφορά|Δαντελονήματα",,EUR,,,0
REVIEW,cmtb78fkx007odkiylrl8o7it,cmtb78ffp007ndkiyn4woc6vx,Hobbywood,Hobbywood Gift Card,https://www.hobbywood.gr/GIFTCARD100,https://www.hobbywood.gr/GIFTCARD100,URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,,100,ΔΩΡΟΚΑΡΤΑ 100€|Hobbywood - Όλα για το χόμπυ και τη ζωγραφική|Προϊόντα|Αρχική|hobbywood,[object Object],,,,1
REVIEW,cmta4ykx8001lsciyu1m24dqd,cmta4ykr0001ksciypzktgyzf,Iaso,IASO presents “IASO Gift Card” for Mammography,https://www.iaso.gr/en/news/details/2020/10/13/to-iaso-parousiazi-tin-iaso-gift-card-gia-mastografia,https://www.iaso.gr/en/news/details/2020/10/13/to-iaso-parousiazi-tin-iaso-gift-card-gia-mastografia,URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,,10|13|2020,IASO presents “IASO Gift Card” for Mammography|HOMEPAGE|NEWS - PRESS RELEASES|DETAILS|ΙΑΣΩ|Όμιλος ΙΑΣΩ,,,,,0
REVIEW,cmta1ihz900csq8iy52zsyahm,cmta1ihsb00crq8iy83hvfzop,Imanoglou,Δωροκάρτα,https://imanoglou.gr/en/catalogue/giftcard_50/,https://imanoglou.gr/en/catalogue/giftcard_50/,URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED,,50,IMANOGLOU - Gift card|Gift card|Imanoglou,,,,e-gift card,0
REVIEW,cmta1fxm40041q8iyf19nk7km,cmta1fxg20040q8iyzetmsdo8,iQueens,iQueens Gift Card,https://www.iqueens.gr/el/9-dorokartes,https://www.iqueens.gr/el/9-dorokartes,URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,,9,Δωροκάρτες | Τιμή από 20 € | Queens 💚|Δωροκάρτες,[object Object],,,,1
REVIEW,cmta1k8xm00kaq8iy3sqsa28b,cmta1k8qh00k9q8iyaho07xw2,Iridaspa,Δωροκάρτα - Gift Card,https://www.iridaspa.gr/product/gift-card-10/,https://www.iridaspa.gr/product/gift-card-10/,URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,,10,Δωροκάρτα - Gift Card | Iridaspa|Δωροκάρτα – Gift Card|Δωροκάρτα - Gift Card|Iridaspa,[object Object]|[object Object]|[object Object]|[object Object]|[object Object]|[object Object],,,,0
REVIEW,cmt8gzro7000114iywjzh5sfg,cmt8gzrhy000014iyuz59nurc,JD Sports Greece,JD Sports Greece Gift Card,https://www.jdsports.gr/el/cms/333/gift-cards,https://www.jdsports.gr/el/cms/333/gift-cards,URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED,,333,"JD Δωροκάρτα και Ηλεκτρονική Δωροκάρτα | JD Sports Ελλάδα|JD ΔΩΡΟΚΑΡΤΑ &ΗΛΕΚΤΡΟΝΙΚΗ ΔΩΡΟΚΑΡΤΑ|JD Sports|Smart Park, Spata Loutsa",,,,eGiftcard,1
ERROR,cmta1f16s000rq8iy7vke82nt,cmta1f101000qq8iy6zg8n644,John-Andy,JOHN-ANDY Δωροεπιταγή 20€,https://john-andy.com/gunaika/doroepitages.html,,PAGE_TIMEOUT,20,,,,EUR,,,0
REVIEW,cmta1n88i00w2q8iyediptv4s,cmta1n82o00w1q8iyo9230d1u,Kaelego,Gift card-50,https://kaelego.gr/gift-card/,https://kaelego.gr/gift-card/,TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,50,,Gift Card – kaelego.gr|Gift Card|Home|kaelego.gr,,,,,0
REVIEW,cmta1lj9c00piq8iynmfth5h9,cmta1lj2s00phq8iymc9sy8cd,Kantarzoglou,€150.00 Gift Card,https://www.kantarzoglou.gr/el/my-gift-cards/,https://www.kantarzoglou.gr/el/my-gift-cards/,TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|DELIVERY_TYPE_UNRESOLVED,150,,Oι δωροεπιταγές μου,,EUR,,,0
SUPPORTED_AS_IS,cmta1ilzk00d8q8iy2h8zeglu,cmta1iltx00d7q8iyerhiz1p8,Kazi,Kazi Gift Card 80€,https://kazi.gr/gift-card-519380-1.html,https://kazi.gr/gift-card-519380-1.html,DELIVERY_TYPE_UNRESOLVED,80,,Gift Card 30 519380-1 plus size | Kazi Line Fashion|Gift Card 80,[object Object],EUR,,,0
REVIEW,cmta1ims300dcq8iy209yelks,cmta1imn100dbq8iyn4nhj89a,Kikoo,Kikoo Δωροεπιταγή 50€,https://kikoo.gr/index.php?path=216&route=product%2Fcategory,https://kikoo.gr/index.php?path=216&route=product%2Fcategory,TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|DELIVERY_TYPE_UNRESOLVED,50,,Δωροεπιταγές|Kikoo Baby Store|Αρχική,,EUR,,,0
REVIEW,cmt8movjv00065ciysur9vq6l,cmt8movdd00055ciyebq5kzv5,KORRES,KORRES Gift Card,https://www.korres.com/products/korres-e-gift-card-26,https://www.korres.com/products/korres-e-gift-card-26,URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED,,26,KORRES E-Gift Card – $25 | KORRES|KORRES E-Gift Card $25.00|KORRES|Korres,[object Object],,,E-Gift Card,1
SUPPORTED_AS_IS,cmta1flev002rq8iyn4j6f4f1,cmta1fl7h002qq8iyqkgcjboc,Kounio,Kounio Δωροκάρτα 25€,https://kounio.gr/katastima/legacy/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,https://kounio.gr/katastima/legacy/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,DELIVERY_TYPE_UNRESOLVED,25,,"Δωροκάρτα – Gift Card | Kounio.gr|Δωροκάρτα – Gift Card|Home|Shop|Legacy|Δωροκάρτα &#8211; Gift Card|Kounio.gr|Kounio.gr | Χιλιάδες Προϊόντα, Άμεσα Διαθέσιμα|Δωροκάρτα - Gift Card|Δωροκάρτα &amp;#8211; Gift Card",[object Object]|[object Object]|[object Object]|[object Object]|[object Object]|[object Object]|[object Object],EUR,,,0
SUPPORTED_AS_IS,cmta1n9za00w8q8iy7ywbxcsm,cmta1n9sv00w7q8iypja3wgnv,Krikisbeauty,Krikis Beauty Gift Card 20€,https://krikisbeauty.gr/shop/gift-card-20e-2/,https://krikisbeauty.gr/shop/gift-card-20e-2/,DELIVERY_TYPE_UNRESOLVED,20,20,Gift Card 20€ | Beauty House Chios|Gift Card 20€|Αρχική|ΚΑΤΑΣΤΗΜΑ|Beauty House Chios|Αρχική σελίδα|Κάρτες Δώρου,[object Object],EUR,,,0
REVIEW,cmta1grv5006uq8iye4j038gk,cmta1grl4006tq8iy8pmzmbvn,Laloo,Laloo Gift Card 30€,https://laloo.gr/el/250-gift-cards,https://laloo.gr/el/250-gift-cards,TITLE_URL_AMOUNT_CONFLICT|DELIVERY_TYPE_UNRESOLVED,30,250,Gift Cards|Laloo Cosmetics|Αρχική|Προϊόντα|Laloo Gadgets|Laloo Gift Card 30€|Laloo Gift Card 50€|Laloo Gift Card 100€,,EUR,,,0
REVIEW,cmta1fsds003hq8iywvbrxbq7,cmta1fs7o003gq8iylqjn4ind,LIAKOPOULOS Brands Store,GIFTCARD 100 (Δωροκάρτα),https://www.liakopoulos-store.gr/,https://liakopoulos-store.gr/,PAGE_IDENTITY_NOT_GIFT_CARD|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,100,,LIAKOPOULOS Brands Store – Brands Store | Est.1959|LIAKOPOULOS Brands Store,,,,,0
REVIEW,cmtb6uw0e002o3giyafr6pxqp,cmtb6uvw3002n3giyqr9kvyec,Linson Moto,Linson Moto Gift Card,https://linsonmoto.gr/dwrokarta-200,https://linsonmoto.gr/dwrokarta-200,URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,,200,Δωροκάρτα 200€ ДРУГИ | Linson Moto|Δωροκάρτα 200€|ДРУГИ|Linson Moto,[object Object]|[object Object],,,,0
REVIEW,cmta5nrd7001354iyo6sumjdq,cmta5nr81001254iy1l0ypsfm,Londonboutique,London Boutique Gift card - London Βoutique,https://www.londonboutique.gr/product/london-boutique-gift-card-6/,https://www.londonboutique.gr/product/london-boutique-gift-card-6/,URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,,6,London Boutique Gift card - London Βoutique|London Boutique Gift card|Home|Shop|London Βoutique|Αρχική σελίδα|ΔΩΡΑ,[object Object],,,,0
REVIEW,cmtb78cvq007adkiylvhj4shj,cmtb78cqm0079dkiyfu94f14d,Lonis Tattoo Studio,Lonis Tattoo Studio Gift Card,https://www.tattooathens.gr/blog/news/53-lts-gift-card,https://www.tattooathens.gr/blog/news/53-lts-gift-card,URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,,53,LTS GIFT CARD / ΚΑΡΤΑ ΔΩΡΟΥ|Lonis Tattoo Studio,,,,,0
