status,merchantId,merchantName,merchantSlug,websiteUrl,finalWebsiteUrl,reasonCodes,candidateSource,candidateScore,candidateUrl,evidence,sha256,width,height,bytes
REVIEW,cmta1i46g00b5q8iy2z5otzf9,Eightboutiquegym,eightboutiquegym,https://eightboutiquegym.gr,https://www.eightboutiquegym.gr/,STRONG_CANDIDATE_REJECTED|ASSET_HTTP_404,HEADER_IMAGE,367,https://www.eightboutiquegym.gr/quality_auto/eight%20logo%20white-01_PNG.png,img:gRkIq0 sFiSiq img_comp-kx0so8z1 apPOZK Eight Boutique Gym Logo,,,,
ERROR,cmtb781yd005udkiyfu78jt3z,Elbebeboutique,elbebeboutique,https://elbebeboutique.gr,,fetch failed,,,,,,,,
REVIEW,cmta1i4m300b7q8iydyj6mvak,Elegancy,elegancy,https://elegancy.gr,https://www.elegancy.gr/,NO_AUTO_SAFE_CANDIDATE,OG_IMAGE,-29,"https://static.wixstatic.com/media/6f2cfb_34a8a1109ced4a9abd44951aa8271299~mv2.png/v1/fill/w_2500,h_2501,al_c/6f2cfb_34a8a1109ced4a9abd44951aa8271299~mv2.png",og:image,,,,
REVIEW,cmtb782b5005wdkiybx3tkhjs,Elemental Studios,elemental-studios,https://elementalpilates.gr,https://www.elementalpilates.gr/,NO_AUTO_SAFE_CANDIDATE,OG_IMAGE,-45,"https://static.wixstatic.com/media/aaf30c_5a5f2e4a6bc144d4813ea04545458f89%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/aaf30c_5a5f2e4a6bc144d4813ea04545458f89%7Emv2.jpg",og:image,,,,
REVIEW,cmt8pswfr0001tgiyw7z7ffed,Elisabetta Franchi,elisabetta-franchi,https://www.elisabettafranchi.com,https://www.elisabettafranchi.com/roe/,NO_AUTO_SAFE_CANDIDATE,SITE_ICON,13,https://cdn2.elisabettafranchi.com.filoblu.com/media/bluheadless/default/logo-svg-144.jpg,link rel=apple-touch-icon,,,,
ERROR,cmta1my4200uxq8iyrtkh2ksx,Enchriso,enchriso,https://enchriso.gr,,fetch failed,,,,,,,,
REVIEW,cmta1m7uh00s5q8iy2uhwo8ad,Epiploaivazoglou,epiploaivazoglou,https://epiploaivazoglou.gr,https://epiploaivazoglou.gr/,NO_AUTO_SAFE_CANDIDATE,HEADER_IMAGE,172,https://epiploaivazoglou.gr/wp-content/uploads/2021/06/Logo-White-Trans-Square-100x100.png,img:no-lazy custom-logo no-lazy custom-logo-link Έπιπλο Αϊβαζόγλου,,,,
NONE,cmta1mz6000v1q8iyvwszf9du,Erato Kosmima,erato-kosmima,https://erato-kosmima.gr,https://erato-kosmima.gr/,NO_LOGO_CANDIDATE,,,,,,,,
REVIEW,cmta1g31o004kq8iy8cy0v47p,eshop.gr,gr,https://eshop.gr,https://www.e-shop.gr/,WEBSITE_REDIRECTED_TO_DIFFERENT_DOMAIN,,,,,,,,
REVIEW,cmtb62gvm000a94iyyhcgbatv,Esiot,esiot,https://esiot.gr,https://esiot.gr/,STRONG_CANDIDATE_REJECTED|ASSET_UNSUPPORTED_FORMAT,SITE_ICON,68,https://esiot.gr/img/favicon.ico?1679919753,link rel=icon,,,,
REVIEW,cmta5nnxp000k54iy9bb28dfr,esthai,esthai,https://esthai.gr,https://www.esthai.gr/,NO_AUTO_SAFE_CANDIDATE,OG_IMAGE,-29,"https://static.wixstatic.com/media/7430f5_9a573af3a0664c98adacd9672e98d1d5%7Emv2.png/v1/fit/w_2500,h_1330,al_c/7430f5_9a573af3a0664c98adacd9672e98d1d5%7Emv2.png",og:image,,,,
NONE,cmta1ltps00qlq8iyu7awumqg,Ethereal Spa,ethereal-spa,https://ethereal-spa.gr,https://www.ethereal-spa.gr/,NO_LOGO_CANDIDATE,,,,,,,,
REVIEW,cmta1i6nk00bfq8iy5qszzqk8,Eubiotica,eubiotica,https://eubiotica.gr,https://www.eubiotica.gr/,STRONG_CANDIDATE_REJECTED|ASSET_HTTP_404,HEADER_IMAGE,367,https://www.eubiotica.gr/quality_auto/eubiotica_new%20logo_small.png,img:gRkIq0 sFiSiq img_comp-lm6ehhij apPOZK eubiotica_new logo_small.png,,,,
ERROR,cmta1i80900blq8iyr9rqvqvt,Eyemazing,eyemazing,https://eyemazing.gr,,PAGE_HTTP_403,,,,,,,,
REVIEW,cmta1gcpz005bq8iynm77ayng,Feelmadness,feelmadness,https://feelmadness.gr,https://www.feelmadness.gr/,STRONG_CANDIDATE_REJECTED|SITE_ICON_TOO_SMALL:48x48,HEADER_IMAGE,187,https://www.feelmadness.gr/pub/media/logo/stores/3/logo-white_178x63.png,img:logo Feel Madness,,,,
SAFE,cmta1i8x000bpq8iyan1tyro9,Fisika,fisika,https://fisika.gr,https://fisika.gr/,OFFICIAL_PAGE|HEADER_IMAGE|SAME_SITE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,334,https://fisika.gr/wp-content/uploads/2024/06/logo_grey65.png,img:header_logo header-logo Fisika,10f8db0be5346ae14699757f3331e79e8077bf36846b4ef8f49f11078ef36478,98,65,4298
REVIEW,cmta1m8wn00s9q8iygc3o000e,Flashfashion,flashfashion,https://flashfashion.shop,https://www.flashfashion.shop/,NO_AUTO_SAFE_CANDIDATE,OG_IMAGE,-29,"https://static.wixstatic.com/media/25f65c_5ad8c87b8c8b4cc7801d84771bd03732%7Emv2.png/v1/fit/w_2500,h_1330,al_c/25f65c_5ad8c87b8c8b4cc7801d84771bd03732%7Emv2.png",og:image,,,,
