kind,status,cardId,merchantId,merchantName,title,expectedUrl,value,reasons,evidence
FINDING,ERROR,cmta4yw6q002xsciynztac1t7,cmta4yw0c002wsciyir3okmhf,Msystems,Msystems Δωροκάρτα 10e | Δωροκάρτες,https://www.msystems.gr/gifcards/msystems-giftcard-10e,,CURRENT_PAGE_TIMEOUT,
FINDING,ERROR,cmta5nucz001j54iyk2uep1aq,cmta5nu7u001i54iy26l668bf,Myprotein,"Myprotein Gift Voucher, £50",https://www.myprotein.gr/p/protein-accessories/myprotein-gift-voucher-50/10530834/,,CURRENT_PAGE_TIMEOUT,
FINDING,ERROR,cmtb6v04k003a3giyiu8s30dd,cmtb6uzyo00393giyijqh9v1h,Outdoorway,Δωροεπιταγή Outdoorway 10 Ευρώ,https://www.outdoorway.gr/product/15647/doroepitagi-Outdoorway-10-eyro,,CURRENT_PAGE_TIMEOUT,
FINDING,ERROR,cmta5nw9j001t54iybpluaasg,cmta5nw46001s54iy628m45ik,Poem Luxury,Δωροκάρτα Poem-Luxury 100,https://poem-luxury.gr/product/giftcard-100/,,CURRENT_PAGE_TIMEOUT,
FINDING,ERROR,cmtb7i4z6001d04iynhzy9379,cmtb7i4tc001c04iydbkml154,Premium Greek Natural Skincare,Gift Card - Premium Greek Natural Skincare,https://oriadathens.com/product/gift-card-50e/,,CURRENT_PAGE_TIMEOUT,
FINDING,ERROR,cmta1jdvx00gqq8iy4767yu90,cmta1jdpf00gpq8iyjay8pz2w,Secrets of Beauty,Secrets of Beauty Gift Card,https://secretsofbeauty.gr/doroepitages-spa/dorokarta-300e,,CURRENT_PAGE_TIMEOUT,
FINDING,ERROR,cmta1l69r00o2q8iysx3o77ki,cmta1l63n00o1q8iyl0i4a7xt,Tacticalstore,Δωροκάρτα 50€ Tactical Store – Digital Gift Card - Tacticalstore ...,https://www.tacticalstore.gr/product/dorokarta-tactical-store-100e-pro-gift-card/,,CURRENT_PAGE_TIMEOUT,
FINDING,ERROR,cmtb77ob5003wdkiyrw1g9la4,cmtb77o6f003vdkiysq2nbo5o,Tsiantakishome,Δωροκάρτα 40,https://www.tsiantakishome.gr/shop/dwrokartes/dwrokarta-40e/,,"page.goto: net::ERR_CONNECTION_RESET at https://www.tsiantakishome.gr/shop/dwrokartes/dwrokarta-40e/
Call log:
[2m  - navigating to ""https://www.tsiantakishome.gr/shop/dwrokartes/dwrokarta-40e/"", waiting until ""domcontentloaded""[22m
",
FINDING,ERROR,cmta1nyzl00yyq8iy0qetgjxm,cmta1nys900yxq8iye6g35elk,Vinylartclothing,Vinyl gift card 40€,https://vinylartclothing.gr/products/gift-card-40,,CURRENT_PAGE_TIMEOUT,
FINDING,ERROR,cmta1o01w00z2q8iyrp45us19,cmta1nzvg00z1q8iylezj7e09,Yourdigitalcourses,ΔΩΡΟΚΑΡΤΑ 50,https://yourdigitalcourses.gr/product/dorokarta-200e/,,CURRENT_PAGE_TIMEOUT,
FINDING,ERROR,cmtb78e22007gdkiyojyhhg7e,cmtb78dwy007fdkiyd2xzj5l1,Zador,Gift Voucher 100 EUR,https://www.zador.gr/en/products/gift-voucher-100-eur,,CURRENT_PAGE_TIMEOUT,
