status,giftCardId,merchantName,giftCardTitle,merchantDomain,categorySlug,score,reason,evidence
SAFE,cmta5nxca001z54iyk1x3ihrh,sexodonia,sexodonia Gift Card,sexodonia.gr,fashion,131,,operator-curated-exact-domain:sexodonia.gr | historical-query|data/discovery/mega-harvest-v6/clean-v6/auto-safe.csv:fashion
SAFE,cmta5nzvj002c54iyh4tnx9jy,WARAGOD,WARAGOD Gift Card,waragod.gr,sports,125,,operator-curated-exact-domain:waragod.gr
SAFE,cmta5o0l0002g54iyn7su7krr,World of Vision,World of Vision - E-Gift Card,worldofvision.gr,fashion,125,,operator-curated-exact-domain:worldofvision.gr
SAFE,cmtb62ofv001f94iytqkcxpz6,Myconiankyma,Gift Cards,myconiankyma.gr,hotels,125,,operator-curated-exact-domain:myconiankyma.gr
SAFE,cmtb62pv8001n94iyge6r4vvp,Oikosterzis,GIFT CARDS,oikosterzis.gr,home,131,,operator-curated-exact-domain:oikosterzis.gr | historical-query|data/discovery/focused-harvest-v7-run1-backup/clean-v7/auto-safe.csv:home
SAFE,cmtb62tub002994iy1zvxngz9,για Γέννηση ή Βάπτιση – TeleioPlayRoom.gr,Δωροκάρτα για Γέννηση ή Βάπτιση – TeleioPlayRoom.gr,teleioplayroom.gr,kids-baby,125,,operator-curated-exact-domain:teleioplayroom.gr
SAFE,cmtb62ujl002d94iyrdhk5afr,Thejerkins,Thejerkins Gift Card,thejerkins.com.gr,fashion,125,,operator-curated-exact-domain:thejerkins.com.gr
SAFE,cmtb62uwc002f94iyphkg86az,Themeetmarket,Gift Cards,themeetmarket.gr,marketplaces,125,,operator-curated-exact-domain:themeetmarket.gr
SAFE,cmtb62v9t002h94iy007xdnrw,Thermaesylla,Gift Voucher,thermaesylla.gr,spa-wellness,125,,operator-curated-exact-domain:thermaesylla.gr
SAFE,cmtb62vyy002l94iyjyij5od6,Trekking,Trekking Gift Card,trekking.gr,experiences,125,,operator-curated-exact-domain:trekking.gr
SAFE,cmtb62wck002n94iyxu7127ef,Tudorhall,Δωροεπιταγές,tudorhall.gr,restaurants,131,,operator-curated-exact-domain:tudorhall.gr | historical-query|data/discovery/focused-harvest-v7-run1-backup/clean-v7/auto-safe.csv:restaurants
SAFE,cmtb62x1u002r94iy0d2ufvi9,Zuraris,Δωροκάρτα,zuraris.gr,fashion,131,,operator-curated-exact-domain:zuraris.gr | historical-query|data/discovery/focused-harvest-v7-run1-backup/clean-v7/auto-safe.csv:fashion
SAFE,cmtb6uzqb00383giyfbh3f5i0,Optika Liolios,Optika Liolios Gift Card,optikaliolios.gr,fashion,125,,operator-curated-exact-domain:optikaliolios.gr
SAFE,cmtb6v0i7003c3giyqzykbead,Parenting Courses,Parenting Courses Gift Card,parentingcourses.gr,experiences,125,,operator-curated-exact-domain:parentingcourses.gr
SAFE,cmtb6v7hv004e3giylwic6g8f,Vinoultura gift cart,Vinoultura gift cart - Δωροκάρτα,vinoultura.gr,food-delivery,125,,operator-curated-exact-domain:vinoultura.gr
