bucket,reason,merchantName,expectedTitle,expectedOfficialUrl,finalUrl,httpStatus,pageTitle,h1,semanticUrl,semanticTitle,semanticH1,semanticBody,visiblePurchaseSignal,structuredCommerceSignal,expectedAmount,expectedAmountFound,badRole
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Cyclestore","Δωροκάρτες","https://cyclestore.gr/gift-card/","https://cyclestore.gr/gift-card/","200","Δωροκάρτες - Cyclestore Athens","","true","true","false","true","true","false","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Decathlon Greece","Κάρτα Δώρου","https://www.decathlon.com.gr/el/content/36-gift-card","https://www.decathlon.com.gr/el/content/36-gift-card","200","Κάρτα Δώρου","Κάρτα Δώρου Decathlon","true","false","false","true","true","false","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","DigiShark","DigiShark Δωροκάρτα","https://digishark.gr/product/giftcard26/","https://digishark.gr/product/giftcard26/","200","Δωροκάρτα - DigiShark","Δωροκάρτα","false","true","true","true","true","false","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Dioptra","Dioptra Gift Card","https://www.dioptra.gr/gift-card","https://www.dioptra.gr/gift-card","200","Δωροκάρτες","","true","true","false","true","true","false","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Djmania","Gift Cards","https://djmania.gr/el/giftcards","https://djmania.gr/el/giftcards","200","Δωροκάρτες","","true","true","false","true","true","false","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Dromeasbikes","DromeasBikes Δωροεπιταγή 25€","https://dromeasbikes.gr/product-category/%CE%B4%CF%89%CF%81%CE%BF%CE%B5%CF%80%CE%B9%CF%84%CE%B1%CE%B3%CE%AD%CF%82/","https://dromeasbikes.gr/product-category/%CE%B4%CF%89%CF%81%CE%BF%CE%B5%CF%80%CE%B9%CF%84%CE%B1%CE%B3%CE%AD%CF%82/","200","Δωροεπιταγές – DromeasBikes","","true","true","false","true","true","false","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Efarmakeio","Efarmakeio Δωροκάρτα","https://efarmakeio.gr/gift-cards","https://efarmakeio.gr/gift-cards","200","Δωροκάρτες | efarmakeio.gr","Δωροκάρτες","true","true","true","true","true","false","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Ehunter","Δωροκάρτα Ehunter","https://www.ehunter.gr/dorokarta-c-1702.html","https://www.ehunter.gr/dorokarta-c-1702.html","200","Δωροκάρτες - EHUNTER","Δωροκάρτες","true","true","true","true","true","false","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Ekdoseis Papasotiriou","Εκδόσεις Παπασωτηρίου Δωροκάρτα","https://ekdoseis-papasotiriou.gr/products/gift-card","https://ekdoseis-papasotiriou.gr/products/gift-card","200","Εκδόσεις Παπασωτηρίου Δωροκάρτα","Εκδόσεις Παπασωτηρίου Δωροκάρτα","true","true","true","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Epipla24","Δωροκάρτα Online Αγορά Επίπλων και Διακόσμησης Σπιτιού","https://epipla24.gr/product/gift-card/","https://epipla24.gr/product/gift-card/","200","Δωροκάρτα Online Αγορά Επίπλων και Διακόσμησης Σπιτιού","Δωροκάρτα Epipla24","true","true","true","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","EpiploSet","EpiploSet Gift Card","https://www.epiploset.gr/product/gift-card/","https://www.epiploset.gr/product/gift-card/","200","Δωροκάρτα | Epiplo Set","Δωροκάρτα","true","true","true","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Ergaleiogatos","Ergaleiogatos Δωροεπιταγή","https://www.ergaleiogatos.gr/shop/doroepitagi/","https://www.ergaleiogatos.gr/shop/doroepitagi/","200","Δωροεπιταγή - Ergaleiogatos.gr","Δωροεπιταγή","true","true","true","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Ethereal Spa","Spa Gift Cards — The Perfect Present - Ethereal Spa","https://www.ethereal-spa.gr/gift-cards","https://www.ethereal-spa.gr/gift-cards","200","Spa Gift Cards — The Perfect Present | Ethereal Spa","ΔΩΡΟΚΑΡΤΕΣ","true","true","true","true","true","false","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Fagotto Books","Fagotto Books Δωροκάρτα","https://fagottobooks.gr/el/percussion-ekpaideytiko-yliko/dorokartes/","https://fagottobooks.gr/el/percussion-ekpaideytiko-yliko/dorokartes/","200","Δωροκάρτες - Κρουστά & εκπαιδευτικό υλικό - Fagotto Books","Δωροκάρτες","true","true","true","true","true","false","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Fantasea","Fantasea Δωροεπιταγή 100€","https://www.fantasea.gr/product/doroepitagi-100-1034/","https://www.fantasea.gr/product/doroepitagi-100-1034/","200","Δωροεπιταγή 100€ - Fantasea","Δωροεπιταγή 100€","true","true","true","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Farmakeio4all","Farmakeio4all Δωροκάρτα","https://farmakeio4all.gr/c/dwrokartes/","https://farmakeio4all.gr/c/dwrokartes/","200","ΔΩΡΟΚΑΡΤΕΣ | Farmakeio4all","Κατηγορίες","true","true","false","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Floky","Gift Card Floky","https://floky.gr/products/gift-card-floky","https://floky.gr/products/gift-card-floky","200","Κάρτα Δώρου Floky","Κάρτα Δώρου Floky","true","false","false","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Forall","Forall Gift Card","https://www.forall.com.gr/gift-card","https://www.forall.com.gr/gift-card","200","Δωροκάρτα","Δωροκάρτα","true","true","true","true","true","false","","false","false"
