action,domain,keep_id,duplicate_id,duplicate_name,production_id,production_name,source_name,reason
MARK_DUPLICATE_DISCOVERY,digishark.gr,cmt8pnwef000pzsiyf1d78vio,cmt8po1590021zsiyn54bwp85,DigiShark,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,digishark.gr,cmt8pnwef000pzsiyf1d78vio,cmt8po5j8003azsiyo70m4pbt,DigiShark,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,digishark.gr,cmt8pnwef000pzsiyf1d78vio,cmt8po97z004bzsiyl6u190c2,DigiShark,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_PRODUCTION,dpam.gr,,cmt8ha0tx001qyoiyfz0firmm,DPAM,cmt8hp8ic0000pgiyqhluxgaw,DPAM,Official Site Discovery v3,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_DISCOVERY,e-mamouth.gr,cmt8pnxlp0011zsiygdx4dok4,cmt8po255002bzsiy6s0xo2eh,e-Mamouth,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,e-stathatos.gr,cmt8pnzfy001kzsiyixhkvibe,cmt8po3wm002tzsiyv44xwqst,e-Stathatos,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,e-stathatos.gr,cmt8pnzfy001kzsiyixhkvibe,cmt8po7y4003yzsiylelufrj1,e-Stathatos,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,e-stathatos.gr,cmt8pnzfy001kzsiyixhkvibe,cmt8pob2x004tzsiybyvsd207,e-Stathatos,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,e-stathatos.gr,cmt8pnzfy001kzsiyixhkvibe,cmt8pod6b005ezsiyg4301btj,e-Stathatos,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,e-stathatos.gr,cmt8pnzfy001kzsiyixhkvibe,cmt8poepf005uzsiyss0muhqn,e-Stathatos,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
