type,confidence,left_id,left_name,left_domain,right_id,right_name,right_domain,reason
DISCOVERY_EXACT_DOMAIN,100,cmt8pnyuu001ezsiydqdav5m9,Ipatios,ipatios.gr,cmt8pocvl005bzsiyp14up69x,Ipatios,ipatios.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnyuu001ezsiydqdav5m9,Ipatios,ipatios.gr,cmt8poeev005rzsiy6ll7m4ff,Ipatios,ipatios.gr,Same normalized domain in DiscoveryItems
DISCOVERY_VS_PRODUCTION,100,cmt9s0kuu0008kciyxnlp6nkf,JD Sports,jdsports.gr,cmt8gzrhy000014iyuz59nurc,JD Sports Greece,jdsports.gr,Exact domain already exists in production
DISCOVERY_EXACT_DOMAIN,100,cmt8gq3gu00091kiy21g99jj7,JD Sports Greece,jdsports.gr,cmt9s0kuu0008kciyxnlp6nkf,JD Sports,jdsports.gr,Same normalized domain in DiscoveryItems
DISCOVERY_VS_PRODUCTION,100,cmt8gq3gu00091kiy21g99jj7,JD Sports Greece,jdsports.gr,cmt8gzrhy000014iyuz59nurc,JD Sports Greece,jdsports.gr,Exact domain already exists in production
DISCOVERY_EXACT_DOMAIN,100,cmt8pnub70004zsiyjpdkilkb,John-Andy,john-andy.com,cmt8pny3i0016zsiy24lamq67,John-Andy,john-andy.com,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnub70004zsiyjpdkilkb,John-Andy,john-andy.com,cmt8po2m5002gzsiylnihttdi,John-Andy,john-andy.com,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnub70004zsiyjpdkilkb,John-Andy,john-andy.com,cmt8po6nj003lzsiyr3wylvwb,John-Andy,john-andy.com,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnub70004zsiyjpdkilkb,John-Andy,john-andy.com,cmt9s0md3000nkciycsq0kuki,JOHN-ANDY,john-andy.com,Same normalized domain in DiscoveryItems
DISCOVERY_VS_PRODUCTION,100,cmt8h8bgw0017yoiyj1igtm63,JYSK Greece,jysk.gr,cmt8l5uyt000c5giyccj0b6md,JYSK Greece,jysk.gr,Exact domain already exists in production
DISCOVERY_EXACT_DOMAIN,100,cmt8h77ux000vyoiywinmu1w2,KIKO,kikocosmetics.com,cmt9s1xxp0003zwiy1q0b5whk,KIKO Milano Greece,kikocosmetics.com,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8h77ux000vyoiywinmu1w2,KIKO,kikocosmetics.com,cmt9s1y100004zwiydbuq6jkr,KIKO Milano Greece,kikocosmetics.com,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8h77ux000vyoiywinmu1w2,KIKO,kikocosmetics.com,cmt9s1y4c0005zwiyrcbfquny,KIKO Milano Greece,kikocosmetics.com,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8h77ux000vyoiywinmu1w2,KIKO,kikocosmetics.com,cmt9s1y7m0006zwiyj6y7n7ws,KIKO Milano Greece,kikocosmetics.com,Same normalized domain in DiscoveryItems
DISCOVERY_VS_PRODUCTION,100,cmt8h77ux000vyoiywinmu1w2,KIKO,kikocosmetics.com,cmt8l5vnt000h5giybb6cc2ff,KIKO,kikocosmetics.com,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt9s1xxp0003zwiy1q0b5whk,KIKO Milano Greece,kikocosmetics.com,cmt8l5vnt000h5giybb6cc2ff,KIKO,kikocosmetics.com,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt9s1y100004zwiydbuq6jkr,KIKO Milano Greece,kikocosmetics.com,cmt8l5vnt000h5giybb6cc2ff,KIKO,kikocosmetics.com,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt9s1y4c0005zwiyrcbfquny,KIKO Milano Greece,kikocosmetics.com,cmt8l5vnt000h5giybb6cc2ff,KIKO,kikocosmetics.com,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt9s1y7m0006zwiyj6y7n7ws,KIKO Milano Greece,kikocosmetics.com,cmt8l5vnt000h5giybb6cc2ff,KIKO,kikocosmetics.com,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8lwsi30002xwiy0081zqlh,KORRES,korres.com,cmt8movdd00055ciyebq5kzv5,KORRES,korres.com,Exact domain already exists in production
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz4x001hzsiyi4c5875b,Kounio,kounio.gr,cmt8po3m2002qzsiyml7tcfle,Kounio,kounio.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz4x001hzsiyi4c5875b,Kounio,kounio.gr,cmt8po7na003vzsiyljzajx31,Kounio,kounio.gr,Same normalized domain in DiscoveryItems
DISCOVERY_VS_PRODUCTION,100,cmt71fvuo000fl0iygua30wtv,Kulina,kulina.gr,cmt79ifor000t84iywm22uls1,Kulina,kulina.gr,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8h9nbv001nyoiykvnfj93k,Lapin House,lapinkids.com,cmt8l5wpa000m5giyp8dgrnvd,Lapin House,lapinkids.com,Exact domain already exists in production
DISCOVERY_EXACT_DOMAIN,100,cmt71fvn8000bl0iykv89kn1t,Lentiamo,lentiamo.gr,cmt8pnuzu000bzsiy7fqxc4xr,Lentiamo,lentiamo.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt71fvn8000bl0iykv89kn1t,Lentiamo,lentiamo.gr,cmt8pnyhh001azsiy91sfvqgg,Lentiamo,lentiamo.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt71fvn8000bl0iykv89kn1t,Lentiamo,lentiamo.gr,cmt8po30c002kzsiydz8tdmcf,Lentiamo,lentiamo.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt71fvn8000bl0iykv89kn1t,Lentiamo,lentiamo.gr,cmt8po727003pzsiylegqob0o,Lentiamo,lentiamo.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt71fvn8000bl0iykv89kn1t,Lentiamo,lentiamo.gr,cmt8poaku004ozsiyvd0z87u4,Lentiamo,lentiamo.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt71fvn8000bl0iykv89kn1t,Lentiamo,lentiamo.gr,cmt8pocob0059zsiyltnv6fx3,Lentiamo,lentiamo.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt71fvn8000bl0iykv89kn1t,Lentiamo,lentiamo.gr,cmt8poe8s005pzsiy5oj2h3eu,Lentiamo,lentiamo.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt71fvn8000bl0iykv89kn1t,Lentiamo,lentiamo.gr,cmt8pofa40060zsiynztr4use,Lentiamo,lentiamo.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt71fvn8000bl0iykv89kn1t,Lentiamo,lentiamo.gr,cmt8pog210068zsiy0u5n3et6,Lentiamo,lentiamo.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt71fvn8000bl0iykv89kn1t,Lentiamo,lentiamo.gr,cmt8pogmk006ezsiyc61flihi,Lentiamo,lentiamo.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt71fvn8000bl0iykv89kn1t,Lentiamo,lentiamo.gr,cmt8poh3p006jzsiypddyj3zn,Lentiamo,lentiamo.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt71fvn8000bl0iykv89kn1t,Lentiamo,lentiamo.gr,cmt8pohdq006mzsiyc59djx41,Lentiamo,lentiamo.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt71fvn8000bl0iykv89kn1t,Lentiamo,lentiamo.gr,cmt8poho4006pzsiygrmwvw6a,Lentiamo,lentiamo.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt71fvn8000bl0iykv89kn1t,Lentiamo,lentiamo.gr,cmt8pohue006rzsiyrdcx4gjt,Lentiamo,lentiamo.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt71fvn8000bl0iykv89kn1t,Lentiamo,lentiamo.gr,cmt8poi10006tzsiybo5sai8p,Lentiamo,lentiamo.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt71fvn8000bl0iykv89kn1t,Lentiamo,lentiamo.gr,cmt8poi7o006vzsiycehan23e,Lentiamo,lentiamo.gr,Same normalized domain in DiscoveryItems
DISCOVERY_VS_PRODUCTION,100,cmt71fvn8000bl0iykv89kn1t,Lentiamo,lentiamo.gr,cmt79ig8y000z84iye5bnelem,Lentiamo,lentiamo.gr,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8pnuzu000bzsiy7fqxc4xr,Lentiamo,lentiamo.gr,cmt79ig8y000z84iye5bnelem,Lentiamo,lentiamo.gr,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8pnyhh001azsiy91sfvqgg,Lentiamo,lentiamo.gr,cmt79ig8y000z84iye5bnelem,Lentiamo,lentiamo.gr,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8po30c002kzsiydz8tdmcf,Lentiamo,lentiamo.gr,cmt79ig8y000z84iye5bnelem,Lentiamo,lentiamo.gr,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8po727003pzsiylegqob0o,Lentiamo,lentiamo.gr,cmt79ig8y000z84iye5bnelem,Lentiamo,lentiamo.gr,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8poaku004ozsiyvd0z87u4,Lentiamo,lentiamo.gr,cmt79ig8y000z84iye5bnelem,Lentiamo,lentiamo.gr,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8pocob0059zsiyltnv6fx3,Lentiamo,lentiamo.gr,cmt79ig8y000z84iye5bnelem,Lentiamo,lentiamo.gr,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8poe8s005pzsiy5oj2h3eu,Lentiamo,lentiamo.gr,cmt79ig8y000z84iye5bnelem,Lentiamo,lentiamo.gr,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8pofa40060zsiynztr4use,Lentiamo,lentiamo.gr,cmt79ig8y000z84iye5bnelem,Lentiamo,lentiamo.gr,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8pog210068zsiy0u5n3et6,Lentiamo,lentiamo.gr,cmt79ig8y000z84iye5bnelem,Lentiamo,lentiamo.gr,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8pogmk006ezsiyc61flihi,Lentiamo,lentiamo.gr,cmt79ig8y000z84iye5bnelem,Lentiamo,lentiamo.gr,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8poh3p006jzsiypddyj3zn,Lentiamo,lentiamo.gr,cmt79ig8y000z84iye5bnelem,Lentiamo,lentiamo.gr,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8pohdq006mzsiyc59djx41,Lentiamo,lentiamo.gr,cmt79ig8y000z84iye5bnelem,Lentiamo,lentiamo.gr,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8poho4006pzsiygrmwvw6a,Lentiamo,lentiamo.gr,cmt79ig8y000z84iye5bnelem,Lentiamo,lentiamo.gr,Exact domain already exists in production
DISCOVERY_VS_PRODUCTION,100,cmt8pohue006rzsiyrdcx4gjt,Lentiamo,lentiamo.gr,cmt79ig8y000z84iye5bnelem,Lentiamo,lentiamo.gr,Exact domain already exists in production
