score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason
80,angelsflowers.gr,Angelsflowers,https://angelsflowers.gr/product/dwrokarta/,Δωροκάρτα,Δωροκάρτα. Πληροφορίες Παράδοσης. Παράδοση παντού στη ... Βρείτε μας στα: Instagram Facebook. © Copyright 2023. All Rights Reserved by Angel's Flowers.,"site:.gr ""flowers"" ""δωροκάρτα""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card
100,apos.audio,Apos Audio Gift Card,https://apos.audio/products/apos-audio-gift-card?srsltid=AfmBOooWRQI2lNqR05WjeP18_a5BeGw1dBc4cH9s0IRsjgwP_-tZuYlc,Apos Audio Gift Card,"Give the gift of premium audio with an Apos Audio gift card. Perfect for audiophiles and music lovers, our gift cards allow recipients to choose from a wide ...","""audio"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
100,arakaibeauty.com,Gift Of Beauty Gift Card at Ara'kai Beauty Copenhagen,https://arakaibeauty.com/products/ara-kai-beauty-gift-card-1?srsltid=AfmBOoqabxNySNlzw1kjskxS_gHwESRNbsoLwCsY88woJkA_3_FYCPRO,Gift Of Beauty Gift Card at Ara'kai Beauty Copenhagen,Share beauty and wellness with an Ara'kai Beauty Gift Card. The Ara´kai Beauty Gift Cards are redeemable at Ara´kai Beauty only (both online and in-store).,"""Denmark"" beauty ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
65,araks.com,Gift Card - Araks,https://www.araks.com/collections/gift-card?srsltid=AfmBOor4_h3wh72qnmNZ_yDFpDzNSqh25YqHObiZbuID0WM9OSkl0AdT,Gift Card - Araks,Greece (EUR €); Greenland (DKK kr.) Grenada (XCD $); Guadeloupe (EUR ... Araks is consciously crafted lingerie and swimwear. Committed to taking care ...,"""Greece"" ""lingerie"" ""gift card""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
100,argento.com,Gifts E-Mail Gift Voucher Argento.com,https://www.argento.com/en/Gifts-E-Mail-Gift-Voucher/m-1803.aspx?srsltid=AfmBOoqzhwZvjMC0c5Vah7BTKRJI2SPSoGoELeZJGSLRqh82uqcLG5aQ,Gifts E-Mail Gift Voucher Argento.com,Give a loved one the present they've always wanted with an Argento Gift Voucher to spend on their favourite jewellery brands!,"""watches"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
100,aritswatches.com,Arits Watches & Co. Gift Card,https://aritswatches.com/products/arits-watches-co-gift-card,Arits Watches & Co. Gift Card,"Arits Watches & Co. Gift Card. Zoom. Arits Watches & Co. Gift Card. Sale price€150,00. Some moments ask for more than a bottle of wine or an envelope with cash ...","""watches"" ""gift card"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
80,art-center.com.gr,Art Center,https://www.art-center.com.gr/categories/4565/dora-doroepitages-/,Δωροεπιταγές,Δωροεπιταγές · Προϊόντα · ΕΥΡΟΣ ΤΙΜΗΣ · Δωροεπιταγή 10 euro · Δωροεπιταγή 20 euro · Δωροεπιταγή 30 euro · Δωροεπιταγή 50 euro · Δωροεπιταγή 100 euro · Η εταιρία.,"site:.com.gr ""δωροεπιταγές""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card
80,asianforall.gr,Δωροκάρτα Asian For All 50ε,https://asianforall.gr/books/vivlia-kinezikwn/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-asianforall/,Δωροκάρτα Asian For All 50ε,50.00€. Προσθήκη στο καλάθι. Προϊόν. Δωροκάρτα Asian ... AUDIO 33.00€.,"site:.gr ""audio"" ""δωροκάρτα""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card
100,assos.com,"Gift Card Gold, » ASSOS Of Switzerland",https://www.assos.com/se/gift-card-gold-146465.html,"Gift Card Gold, » ASSOS Of Switzerland","Gift Card Gold - ASSOS Of Switzerland - Official Online Shop. Gift Card Gold. 3 100,00 SEK. * required fields. Sender name *. Sender email *. Recipient name ...","""Switzerland"" retail ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
100,ataratma.com,Ataratma London Gift Card,https://www.ataratma.com/products/gift-card?srsltid=AfmBOopMgCCx1R1xXvkBoSmNrlmSFsqID5XEsjGryqQtPe0TPJ1_8bdd,Ataratma London Gift Card,Greece (EUR €); Guernsey (GBP £); Hong ... ATARATMA perfume bottles on a reflective surface with 'GIFT VOUCHER' text above.,"""Greece"" ""perfume"" ""gift voucher""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
