score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason
100,dreamstime.com,"Itunes Gift Card Greece Images, Pictures And Stock Photos",https://www.dreamstime.com/photos-images/itunes-gift-card-greece.html,"Itunes Gift Card Greece Images, Pictures And Stock Photos","Itunes Gift Card Greece Images, Pictures And Stock Photos ... View on apple itunes and app store gift voucher card hold by hand in german supermarket.","""supermarket"" ""gift voucher"" Greece",3,data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,third_party_apple_gift_card
100,egiftcards.nz,IKEA Gift Card Greece Region for Home Essentials,https://www.egiftcards.nz/product/ikea-gift-card-greece-region-eur-email-delivery/,IKEA Gift Card Greece Region for Home Essentials - eGift Cards,"Buy IKEA Gift Card Greece Region online for furniture, storage, kitchenware, bedding and home essentials. Choose available amounts with secure checkout.","""furniture"" ""gift card"" Greece",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,electronicfirst.com,IKEA €50 Gift Card GR - Perfect Gift for Home Decor,https://www.electronicfirst.com/ikea-eur50-gift-card-gr?c=EUR&srsltid=AfmBOoorUGfoG8OPT4uBr1xOXbm6mKmXHFgtL4itE4zZNLq0tWiOkyrx,IKEA €50 Gift Card GR - Perfect Gift for Home Decor,"Buy an IKEA €50 Gift Card GR! A perfect gift for home decor lovers, redeemable online or in-store. Give the gift of choice today!","""decor"" ""gift card"" Greece",2,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,third_party_ikea_gift_card
100,en.aegeanair.com,AEGEAN Gift Card,https://en.aegeanair.com/flight-deals/gift-card/,AEGEAN Gift Card,"... sports equipment, or pet/animal transportation) via ""My Booking"". Who can ... Gift Voucher promo code. What if the flight I used my AEGEAN Gift Card is ...","""sports"" ""gift voucher"" Greece",3,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REJECT,non_merchant_signal
100,eneba.com,AirlineGift Gift Card 100 EUR Key GREECE,https://www.eneba.com/airlinegift-airlinegift-gift-card-100-eur-key-greece?srsltid=AfmBOorauo6TVnmnmuBUPYgUmMJKFD1O-puKseGzc6qXW8A88zXnQcI4,AirlineGift Gift Card 100 EUR Key GREECE,AirlineGift offers the world's best airline gift card and online travel booking selection with a unique choice of 450 Airlines to book a flight to almost ...,"""airline"" ""gift card"" Greece",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,etsy.com,Ferry Boat Gift Voucher: Customizable Ticket (digital Product),https://www.etsy.com/ie/listing/4367110822/ferry-boat-gift-voucher-customizable,Ferry Boat Gift Voucher: Customizable Ticket (digital Product),May include: A ferry ride gift voucher ... Ferry Boat Gift Voucher: Customizable Ticket (Digital Product); Editable Instant Download ... Tickets to Greece Gift - ...,"""ferry"" ""gift voucher"" Greece",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,fleximart.ae,Buy Airline Gift Card GREECE 500 EUR,https://fleximart.ae/product/airline-gift-card-greece-500-eur,Buy Airline Gift Card GREECE 500 EUR,Airline Gift Card GREECE 500 EUR ... Buy Airline Gift Cards Online in Fleximart! Choose from large selection of eGift cards & Vouchers and surprise your friends ...,"""airline"" ""gift card"" Greece",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,g2a.com,PLAISIO Gift Card 20 EUR - Plaisio Key - GREECE,https://www.g2a.com/plaisio-gift-card-20-eur-plaisio-key-greece-i10000504140002,PLAISIO Gift Card 20 EUR - Plaisio Key - GREECE,"With Plaisio's Gift Card, you can purchase a wide range of electronics, including smartphones, laptops, televisions, gaming consoles, home appliances, and audio ...","""electronics"" ""gift voucher"" Greece",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,giftcard.co.uk,Purchase a gift card: e,https://www.giftcard.co.uk/,Purchase a gift card: e-gift card or by mail | Giftcard.co.uk,Find the widest range of gift cards at giftcard.co.uk · Popular gift cards · Buy in bulk for your business · All-in-1 Choice Gift Card · Gift cards by category.,"""UK"" retail ""gift card"" official",3,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,unsafe_subdomain
100,giftcard.ie,Top 10 most popular gift cards in Ireland - 2025,https://www.giftcard.ie/blog/top-10-gift-cards-in-ireland/,Top 10 most popular gift cards in Ireland - 2025,Top 10 gift cards in Ireland · 10. Boohoo Gift Card · 9. Lidl Gift Card · 8. Adidas Gift Card · 7. National Book Tokens Gift Card · 6. H&M Gift Card.,"""Ireland"" fashion ""gift card"" official",2,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,unsafe_subdomain
