score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason
100,agrotourism.com.cy,Cyprus Gift Cards for Stays & Experiences - Agrotourism,https://agrotourism.com.cy/buy-e-gift-card/,Cyprus Gift Cards for Stays & Experiences - Agrotourism,giftcard 50. Discover Cyprus Gift Card. Buy Now. €50.00 · giftcard 75. Discover Cyprus Gift Card. Buy Now. €75.00 · giftcard 100. Discover Cyprus Gift Card. Buy ...,"""Cyprus"" hotel ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear
100,aidha.org,Buy a Gift Card!,https://aidha.org/events-and-news/gift-of-education-2022/giftcard/,Buy a Gift Card!,... education course: Module 1 – Manage Your Money & Tech. Available as a physical gift card (no e-cards available). The gift card will be posted to the address ...,"""education"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear
100,ailanajewelry.com,AILANA JEWELRY GIFT VOUCHER,https://ailanajewelry.com/en-fr/products/gift-voucher-ailana-jewelry?srsltid=AfmBOopxmGJ6iWeKOzeugsnZdF2Qsy8v7W0vXzDgCdCGmJafwykovSDy,AILANA JEWELRY GIFT VOUCHER,AILANA JEWELRY GIFT VOUCHER ... Tax included. Shipping calculated at checkout. Denominations. 20.00 € 40.00 € 60.00 ...,"""jewelry"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
55,aioloscourier.gr,Personalised Scratch-Off Theatre Show Ticket – Surprise Reveal ...,https://aioloscourier.gr/Scratch-Off-Theatre-Show-Ticket-Surprise-Reveal-Gift-Voucher-1306719/,Personalised Scratch-Off Theatre Show Ticket – Surprise Reveal ...,Personalised Scratch-Off Theatre Show Ticket – Surprise Reveal Gift Voucher ... Get it delivered as soon as today. Schedule your delivery in checkout. More ...,"site:.gr ""theatre"" ""gift voucher""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear
80,airbnb.gr,Παράδεισος. Μοντέρνο. Θέα στη λίμνη. Δωρεάν δωροκάρτα 200,https://www.airbnb.gr/rooms/34914351,Παράδεισος. Μοντέρνο. Θέα στη λίμνη. Δωρεάν δωροκάρτα 200,"Δωρεάν δωροκάρτα 200 $. Διαμερίσματα σε ... Ό,τι κι αν προτιμάτε, έχουν κάτι για όλους!! *Περιλαμβάνεται - δωροκάρτα 200 $ για θαλάσσια σπορ στη λίμνη του Λας ...","site:.gr ""water sports"" ""δωροκάρτα""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear
100,airserbia.com,Gift voucher,https://www.airserbia.com/en/explore/services/gift-voucher,Gift voucher,Sweden (SEK) · Switzerland (CHF) · Turkey (USD) · United Kingdom (GBP) · United ... Gift voucher. You wish to surprise your dear one with something special ...,"""Sweden"" travel ""gift voucher"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear
100,aladastra.com,Aladastra,https://aladastra.com/gift-bundles/e-gift-cards.html,E-Gift Cards - Aladastra Yoga & Wellness Lifestyle,... €50 E-Gift Card. (). €50.00. wishlist Add to Cart ... Athens (VISIT BY APPOINTMENT). OUR STORY. ABOUT US · OUR PHILOSOPHY.,"""Athens"" ""yoga"" ""gift card""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
70,alamy.com,Gift card display at store Stock Photos and Images,https://www.alamy.com/stock-photo/gift-card-display-at-store.html,Gift card display at store Stock Photos and Images,"Poznan, Poland - 26 July 2025: Modern electronics store displays iPhone 16 poster, ... Thessaloniki, Greece - November 24 2025: LIDL Christmas seasonal ...","""Thessaloniki"" ""electronics"" ""gift card""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear
80,alayasol.de,Yoga Gift Voucher,https://www.alayasol.de/en/products/geschenk-gutschein?srsltid=AfmBOoqbOWrkGhq3g-IFsdr-vy6QGRQ-5pyhvUyXZRIoIiE59S90yn9K,Yoga Gift Voucher,"Gift Voucher. Art.-Nr.: Art.-Nr.: Regular price 25,00 €. Sale price Regular ... Für wen ist das Yoga & Meditation Equipment geeignet? Unser Yoga- und ...","""yoga"" ""gift voucher"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear
80,alchemist-aromas.com,Perfume Gift Voucher - Experience Alchemist Aromas® Luxury ...,https://alchemist-aromas.com/en/products/alchemist-aromas-gutschein?srsltid=AfmBOoq15V9pfK6fTtbAAS0BhZ_5WoYHEHAszlO9VFH7Xcc83i9njZSc,Perfume Gift Voucher - Experience Alchemist Aromas® Luxury ...,Gift the magic of scent with Alchemist Aromas®'s perfume gift voucher. Perfect for exploring exquisite fragrances for everyone ... Greece EUR €; Hungary HUF Ft ...,"""perfume"" ""gift voucher"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
