status,giftCardId,merchantName,giftCardTitle,categorySlug,occasionSlug,relevance,reason,ruleId
SAFE,cmta1jccn00gkq8iyko4bp2k8,Psomiadishome,Δωροκάρτα - giftcard,home,christmas,84,,semantic-category-v8:home:christmas
SAFE,cmta1jccn00gkq8iyko4bp2k8,Psomiadishome,Δωροκάρτα - giftcard,home,just-because,76,,semantic-category-v8:home:just-because
SAFE,cmta1jcvk00gmq8iyrx516n5h,Ptbox,Gift Card - PT Box,sports,birthday,92,,semantic-category-v8:sports:birthday
SAFE,cmta1jcvk00gmq8iyrx516n5h,Ptbox,Gift Card - PT Box,sports,christmas,86,,semantic-category-v8:sports:christmas
SAFE,cmta1jcvk00gmq8iyrx516n5h,Ptbox,Gift Card - PT Box,sports,just-because,76,,semantic-category-v8:sports:just-because
SAFE,cmta1jdf100goq8iymwne5top,Sandglass,Δωροκάρτα - Sandglass.gr by Ammos & Gyali,home,wedding,88,,semantic-category-v8:home:wedding
SAFE,cmta1jdf100goq8iymwne5top,Sandglass,Δωροκάρτα - Sandglass.gr by Ammos & Gyali,home,christmas,84,,semantic-category-v8:home:christmas
SAFE,cmta1jdf100goq8iymwne5top,Sandglass,Δωροκάρτα - Sandglass.gr by Ammos & Gyali,home,just-because,76,,semantic-category-v8:home:just-because
SAFE,cmta1jdvx00gqq8iy4767yu90,Secrets of Beauty,Secrets of Beauty Gift Card,beauty,birthday,92,,semantic-category-v8:beauty:birthday
SAFE,cmta1jdvx00gqq8iy4767yu90,Secrets of Beauty,Secrets of Beauty Gift Card,beauty,christmas,86,,semantic-category-v8:beauty:christmas
SAFE,cmta1jdvx00gqq8iy4767yu90,Secrets of Beauty,Secrets of Beauty Gift Card,beauty,mothers-day,82,,semantic-category-v8:beauty:mothers-day
SAFE,cmta1jdvx00gqq8iy4767yu90,Secrets of Beauty,Secrets of Beauty Gift Card,beauty,just-because,78,,semantic-category-v8:beauty:just-because
SAFE,cmta1jebk00gsq8iy1xtjtw90,Signature,Ταξιδιωτική δωροεπιταγή : το καλύτερο δώρο!,travel,birthday,88,,semantic-category-v8:travel:birthday
SAFE,cmta1jebk00gsq8iy1xtjtw90,Signature,Ταξιδιωτική δωροεπιταγή : το καλύτερο δώρο!,travel,anniversary,92,,semantic-category-v8:travel:anniversary
SAFE,cmta1jebk00gsq8iy1xtjtw90,Signature,Ταξιδιωτική δωροεπιταγή : το καλύτερο δώρο!,travel,wedding,88,,semantic-category-v8:travel:wedding
SAFE,cmta1jebk00gsq8iy1xtjtw90,Signature,Ταξιδιωτική δωροεπιταγή : το καλύτερο δώρο!,travel,christmas,82,,semantic-category-v8:travel:christmas
SAFE,cmta1jewr00guq8iysneicire,Simple City,Δωροκάρτα,home,wedding,88,,semantic-category-v8:home:wedding
SAFE,cmta1jewr00guq8iysneicire,Simple City,Δωροκάρτα,home,christmas,84,,semantic-category-v8:home:christmas
SAFE,cmta1jewr00guq8iysneicire,Simple City,Δωροκάρτα,home,just-because,76,,semantic-category-v8:home:just-because
SAFE,cmta1jfeg00gwq8iyzwet61xe,Skinky,Skinky Gift Card,beauty,birthday,92,,semantic-category-v8:beauty:birthday
SAFE,cmta1jfeg00gwq8iyzwet61xe,Skinky,Skinky Gift Card,beauty,christmas,86,,semantic-category-v8:beauty:christmas
SAFE,cmta1jfeg00gwq8iyzwet61xe,Skinky,Skinky Gift Card,beauty,mothers-day,82,,semantic-category-v8:beauty:mothers-day
SAFE,cmta1jfeg00gwq8iyzwet61xe,Skinky,Skinky Gift Card,beauty,just-because,78,,semantic-category-v8:beauty:just-because
SAFE,cmta1jfvm00gyq8iy0cpkveho,Skynn,Skynn Gift Card,beauty,birthday,92,,semantic-category-v8:beauty:birthday
SAFE,cmta1jfvm00gyq8iy0cpkveho,Skynn,Skynn Gift Card,beauty,christmas,86,,semantic-category-v8:beauty:christmas
SAFE,cmta1jfvm00gyq8iy0cpkveho,Skynn,Skynn Gift Card,beauty,mothers-day,82,,semantic-category-v8:beauty:mothers-day
SAFE,cmta1jfvm00gyq8iy0cpkveho,Skynn,Skynn Gift Card,beauty,just-because,78,,semantic-category-v8:beauty:just-because
SAFE,cmta1jgb900h0q8iyso43fmmm,Sokmi,Gift card - Δωροκάρτα,beauty,birthday,92,,semantic-category-v8:beauty:birthday
SAFE,cmta1jgb900h0q8iyso43fmmm,Sokmi,Gift card - Δωροκάρτα,beauty,christmas,86,,semantic-category-v8:beauty:christmas
SAFE,cmta1jgb900h0q8iyso43fmmm,Sokmi,Gift card - Δωροκάρτα,beauty,mothers-day,82,,semantic-category-v8:beauty:mothers-day
SAFE,cmta1jgb900h0q8iyso43fmmm,Sokmi,Gift card - Δωροκάρτα,beauty,just-because,78,,semantic-category-v8:beauty:just-because
SAFE,cmta1jgrc00h2q8iylmuzku7m,Sonice,Sonice Δωροεπιταγή 50€,beauty,birthday,92,,semantic-category-v8:beauty:birthday
SAFE,cmta1jgrc00h2q8iylmuzku7m,Sonice,Sonice Δωροεπιταγή 50€,beauty,christmas,86,,semantic-category-v8:beauty:christmas
SAFE,cmta1jgrc00h2q8iylmuzku7m,Sonice,Sonice Δωροεπιταγή 50€,beauty,mothers-day,82,,semantic-category-v8:beauty:mothers-day
SAFE,cmta1jgrc00h2q8iylmuzku7m,Sonice,Sonice Δωροεπιταγή 50€,beauty,just-because,78,,semantic-category-v8:beauty:just-because
SAFE,cmta1jhmo00h6q8iy0wb09n6y,Spitispa,Δωροκάρτα - spitispa.gr,spa-wellness,birthday,92,,semantic-category-v8:spa-wellness:birthday
SAFE,cmta1jhmo00h6q8iy0wb09n6y,Spitispa,Δωροκάρτα - spitispa.gr,spa-wellness,anniversary,90,,semantic-category-v8:spa-wellness:anniversary
SAFE,cmta1jhmo00h6q8iy0wb09n6y,Spitispa,Δωροκάρτα - spitispa.gr,spa-wellness,valentines,88,,semantic-category-v8:spa-wellness:valentines
SAFE,cmta1jhmo00h6q8iy0wb09n6y,Spitispa,Δωροκάρτα - spitispa.gr,spa-wellness,mothers-day,86,,semantic-category-v8:spa-wellness:mothers-day
SAFE,cmta1jhmo00h6q8iy0wb09n6y,Spitispa,Δωροκάρτα - spitispa.gr,spa-wellness,fathers-day,82,,semantic-category-v8:spa-wellness:fathers-day
SAFE,cmta1ji3200h8q8iyjb06dwjh,Star Nails,Δωροκάρτα - eGift Card,beauty,birthday,92,,semantic-category-v8:beauty:birthday
SAFE,cmta1ji3200h8q8iyjb06dwjh,Star Nails,Δωροκάρτα - eGift Card,beauty,christmas,86,,semantic-category-v8:beauty:christmas
SAFE,cmta1ji3200h8q8iyjb06dwjh,Star Nails,Δωροκάρτα - eGift Card,beauty,mothers-day,82,,semantic-category-v8:beauty:mothers-day
SAFE,cmta1ji3200h8q8iyjb06dwjh,Star Nails,Δωροκάρτα - eGift Card,beauty,just-because,78,,semantic-category-v8:beauty:just-because
SAFE,cmta1jijd00haq8iy0wkujph9,Stickit,Stickit Δωροεπιταγή 10€ – 100€,home,wedding,88,,semantic-category-v8:home:wedding
SAFE,cmta1jijd00haq8iy0wkujph9,Stickit,Stickit Δωροεπιταγή 10€ – 100€,home,christmas,84,,semantic-category-v8:home:christmas
SAFE,cmta1jijd00haq8iy0wkujph9,Stickit,Stickit Δωροεπιταγή 10€ – 100€,home,just-because,76,,semantic-category-v8:home:just-because
SAFE,cmta1jj2z00hcq8iy8m07iarh,Sticky,Δωροκαρτα Sticky,home,wedding,88,,semantic-category-v8:home:wedding
SAFE,cmta1jj2z00hcq8iy8m07iarh,Sticky,Δωροκαρτα Sticky,home,christmas,84,,semantic-category-v8:home:christmas
SAFE,cmta1jj2z00hcq8iy8m07iarh,Sticky,Δωροκαρτα Sticky,home,just-because,76,,semantic-category-v8:home:just-because
SAFE,cmta1jk1x00hgq8iyhbyiv7pp,Storybook,e-Gift Card - storybook,books,birthday,90,,semantic-category-v8:books:birthday
SAFE,cmta1jk1x00hgq8iyhbyiv7pp,Storybook,e-Gift Card - storybook,books,christmas,90,,semantic-category-v8:books:christmas
SAFE,cmta1jk1x00hgq8iyhbyiv7pp,Storybook,e-Gift Card - storybook,books,thank-you,82,,semantic-category-v8:books:thank-you
