score,domain,merchant_name,possible_official_url,title,snippet,query,clean_bucket,clean_reason
100,cardtonic.com,Top 7 Most Common Gift Cards You Can Buy In Greece,https://cardtonic.com/read/gift-cards-in-greece,Top 7 Most Common Gift Cards You Can Buy In Greece,Top 7 Types of Gift Cards In Greece In 2026 · 1. Amazon Gift Card · 2. Google Play Gift Card · 3. PlayStation Gift Cards · 4. IKEA Gift Cards · 5. Steam Gift Card · 6 ...,"""gift card"" Greece",REJECT,known_reseller_editorial_or_research_domain
100,coincards.com,Global Hotel Card Online Gift Card (Electronic Delivery) ...,https://coincards.com/eu/product/global-hotel-card-online-gift-card-electronic-delivery-greece/,Global Hotel Card Online Gift Card (Electronic Delivery) ...,Global Hotel Card Online Gift Card (Electronic Delivery) (Greece). Redeemable in: Greece. Brand: Global Hotel Card Website: https://www.globalhotelcard.com/ ...,"""hotel"" ""gift card"" Greece",REJECT,known_reseller_editorial_or_research_domain
100,coingate.com,Top 10 Gift Cards in Italia: Idee Regalo - CoinGate,https://coingate.com/gift-cards/articles/article/top-10-gift-cards-in-italia?srsltid=AfmBOorFdAX6h3G5PGZYIYvn4LVsYgmqLtz7hUpoI7YDwyem992rqdEo,Top 10 Gift Cards in Italia: Idee Regalo - CoinGate,"The Italo gift card is a convenient prepaid card that can be used to book train tickets for Italy's high-speed Italo trains, offering flexible ...","""Italy"" hotel ""gift card"" official",REJECT,reseller_editorial_research_or_packaging_signal
100,coinsbee.com,Buy Electroholic.gr Gift Cards with Crypto,https://www.coinsbee.com/en/gift-cards/electronics/electroholic-gr/,Buy Electroholic.gr Gift Cards with Crypto,"This versatile e-gift card works like a convenient Electroholic.gr prepaid card for electronics, ideal for upgrading laptops, smartphones, gaming gear, ...","""electronics"" ""gift card"" Greece",REJECT,reseller_editorial_research_or_packaging_signal
100,colnect.com,Greece : Gift Cards [Theme: Furniture | Year: 2007],https://colnect.com/en/gift_cards/list/country/84-Greece/theme/2986-Furniture/year/2007,Greece : Gift Cards [Theme: Furniture | Year: 2007],"Greece : Gift Cards [Theme: Furniture | Year: 2007] : Colnect . Buy ... Gift Card catalog › Gift Cards (Theme: Furniture, Year: 2007). Switch to list ...","""furniture"" ""gift card"" Greece",REJECT,known_reseller_editorial_or_research_domain
100,ding.com,Germany Gift Cards,https://www.ding.com/gift-cards/germany?srsltid=AfmBOorXG-m4GMV6Rdu_9856ibPDGDU_i99lSEPpjwX5X5_CSxjqSMMN,Germany Gift Cards,Sending a gift card to Germany couldn't be easier with Ding. You to send a Netflix gift card to your loved ones in Germany in seconds. Our online vouchers are ...,"""Germany"" retail ""gift card"" official",REJECT,third_party_brand_gift_card_reseller_signal
100,discoveringireland.com,Travel Gift Vouchers Ireland | Coupons for travel to Ireland,https://www.discoveringireland.com/gift-vouchers/,Travel Gift Vouchers Ireland | Coupons for travel to Ireland,The Gift Voucher cannot be used to purchase another Gift Voucher. 4. For ... Ireland and indeed in Ireland travel itself! You will also be among the ...,"""Ireland"" travel ""gift voucher"" official",REJECT,reseller_editorial_research_or_packaging_signal
100,dreamstime.com,"Itunes Gift Card Greece Images, Pictures And Stock Photos",https://www.dreamstime.com/photos-images/itunes-gift-card-greece.html,"Itunes Gift Card Greece Images, Pictures And Stock Photos","Itunes Gift Card Greece Images, Pictures And Stock Photos ... View on apple itunes and app store gift voucher card hold by hand in german supermarket.","""supermarket"" ""gift voucher"" Greece",REJECT,third_party_brand_gift_card_reseller_signal
100,easytechnology.gr,Steam Wallet Gift Card - 50 EUR Key in category ...,https://www.easytechnology.gr/information-technology-and-tablet/computers/pc-games/steam-wallet-gift-card-50-eur-steam-key,Steam Wallet Gift Card - 50 EUR Key in category ...,Steam Wallet Gift Card - 50 EUR Key in category Information Technology and Tablet/Computers/PC Games. Find it at Easy Technology.,"site:.gr ""electronics"" ""gift card""",REJECT,third_party_brand_gift_card_reseller_signal
100,en.aegeanair.com,AEGEAN Gift Card,https://en.aegeanair.com/flight-deals/gift-card/,AEGEAN Gift Card,"... sports equipment, or pet/animal transportation) via ""My Booking"". Who can ... Gift Voucher promo code. What if the flight I used my AEGEAN Gift Card is ...","""sports"" ""gift voucher"" Greece",REJECT,reseller_editorial_research_or_packaging_signal
100,fnet.gr,Xbox Gift Card 10€ Digital Key - fnet.gr,https://fnet.gr/xbox-gift-card-10e-digital-key/,Xbox Gift Card 10€ Digital Key - fnet.gr,Κατηγορία προϊόντων καταστήματος: Gaming & Παιχνίδια>Gift Cards - Live Cards> Xbox: Xbox Gift Card ... Xbox Gift Card 10€ Digital Key. €10.00.,"site:.gr ""gaming"" ""gift card""",REJECT,third_party_brand_gift_card_reseller_signal
100,giftcard.ie,Top 10 most popular gift cards in Ireland - 2025,https://www.giftcard.ie/blog/top-10-gift-cards-in-ireland/,Top 10 most popular gift cards in Ireland - 2025,Top 10 gift cards in Ireland · 10. Boohoo Gift Card · 9. Lidl Gift Card · 8. Adidas Gift Card · 7. National Book Tokens Gift Card · 6. H&M Gift Card.,"""Ireland"" fashion ""gift card"" official",REJECT,reseller_editorial_research_or_packaging_signal
100,giftcards.ie,Giftcards.ie your #1 in Ireland for Gift Cards,https://www.giftcards.ie/,Giftcards.ie your #1 in Ireland for Gift Cards,Ireland's leading Gift Card retailer ✓ 100+ top brands available ✓ Digital & physical delivery options ✓ Perfect for any occasion ✓ Shop Gift Cards ...,"""Ireland"" retail ""gift card"" official",REJECT,reseller_editorial_research_or_packaging_signal
100,giiresearch.com,Europe Gift Card And Incentive Card - Market Share ...,https://www.giiresearch.com/report/moi2116635-europe-gift-card-incentive-card-market-share.html,Europe Gift Card And Incentive Card - Market Share ...,"Europe Gift Card And Incentive Card - Market Share Analysis, Industry Trends & Statistics, Growth Forecasts (2026 - 2031). PUBLISHED: August ...","""Europe"" retail ""gift card"" official",REJECT,reseller_editorial_research_or_packaging_signal
