domain,merchantName,title,possibleOfficialUrl,score,occurrences,reason,action
pentavras-kes.gr,Pentavras Kes,Αγοράστε μία Δωροεπιταγή,https://www.pentavras-kes.gr/account/voucher,130,5,,QUEUE_NEW
physismassage.gr,Massage Gift Card,Massage Gift Card,https://physismassage.gr/en/gift-cards/,130,5,,QUEUE_NEW
pleko.gr,Pleko,Δωροκάρτα,https://pleko.gr/gift-ideas/gift-card-detail,130,3,,QUEUE_NEW
propercretanguide.gr,Κάρτα δώρου για Εκδρομές - Περιηγήσεις στα Χανιά Κρήτης,Κάρτα δώρου για Εκδρομές - Περιηγήσεις στα Χανιά Κρήτης,https://propercretanguide.gr/el/dorokarta-gia-ekdromi-diakopes-sta-chania/,130,6,,QUEUE_NEW
purebubs.gr,Perfect Gift for Any Occasion,Gift Card | Perfect Gift for Any Occasion,https://purebubs.gr/products/gift-card,130,3,,QUEUE_NEW
rocksugarbaby.gr,s Αρχεία,Gift Cards Αρχεία,https://www.rocksugarbaby.gr/product-category/dorakia/gift-cards/,130,3,,QUEUE_NEW
sandinmytoes.gr,Sandinmytoes,Gift Card,https://sandinmytoes.gr/el/shop/gift-card-el/gift-card/,130,3,,QUEUE_NEW
sanopwleio.gr,Sanopwleio,Αγοράστε μία Δωροεπιταγή,https://www.sanopwleio.gr/account/voucher,130,8,,QUEUE_NEW
skinreal.gr,Skinreal,Δωροκάρτα,https://skinreal.gr/product/giftcards/,130,3,,QUEUE_NEW
sunflirt.gr,SUN ΦΛΕΡΤ,SUN ΦΛΕΡΤ - Gift Card,https://sunflirt.gr/product/gift-card/,130,3,,QUEUE_NEW
tennisgarden.gr,Δωροκάρτες,Δωροκάρτες,https://tennisgarden.gr/gift-cards/,130,3,,QUEUE_NEW
tenplushair.gr,Ten Plus,Δωροκάρτα Ten Plus,https://tenplushair.gr/ten-plus-hair-services-gift-card/,130,3,,QUEUE_NEW
thelproject.gr,Gift Voucher - Theλamdaproject - Language School,Gift Voucher - Theλamdaproject - Language School,https://thelproject.gr/courses/gift-voucher/,130,3,,QUEUE_NEW
threadboutique.gr,Threadboutique,Gift Card,https://threadboutique.gr/collections/gift-card,130,3,,QUEUE_NEW
tokopeli.gr,Tokopeli,Δωροκάρτα,https://www.tokopeli.gr/voucher,130,5,,QUEUE_NEW
toolsmania.gr,Toolsmania,Αγοράστε μία Δωροεπιταγή,https://www.toolsmania.gr/index.php?route=account%2Fvoucher,130,6,,QUEUE_NEW
topgreekwines.gr,Topgreekwines,Gift voucher 50€,https://www.topgreekwines.gr/en-gb/gift-voucher-50%E2%82%AC-wines.html,130,5,,QUEUE_NEW
tresjoli.gr,Tresjoli,Αγοράστε μία Δωροεπιταγή,https://www.tresjoli.gr/index.php/?route=account/voucher,130,5,,QUEUE_NEW
trimis.com.gr,Trimis,Αγοράστε μία Δωροεπιταγή,https://www.trimis.com.gr/account/voucher,130,3,,QUEUE_NEW
tsiantakishome.gr,Tsiantakishome,Δωροκάρτα 40,https://www.tsiantakishome.gr/shop/dwrokartes/dwrokarta-40e/,130,7,,QUEUE_NEW
tzougaris.gr,Τζούγκαρης - 300€,Δωροκάρτα Τζούγκαρης - 300€ — Κοσμήματα Τζούγκαρη,https://tzougaris.gr/en/shop/wps_wgm_giftcard/tzougaris-giftcard-300/,130,5,,QUEUE_NEW
valsamakis.gr,Name Day GIft Card - Καλαμάτα,Name Day GIft Card - Καλαμάτα,https://valsamakis.gr/name-day-gift-card.html,130,5,,QUEUE_NEW
vca.gr,Sick Gift Card - ViciousCyclesAthens,Sick Gift Card - ViciousCyclesAthens,https://www.vca.gr/products/gift-card,130,3,,QUEUE_NEW
vinoteca.gr,Vinoteca,Δωροκάρτα 100,https://www.vinoteca.gr/gift-card-100.html,130,3,,QUEUE_NEW
wedday.gr,WEDDING DAY,Δωροκάρτα - WEDDING DAY,https://wedday.gr/dorokarta/,130,6,,QUEUE_NEW
alexandrisstores.gr,Valentine's day Gift Card,Valentine's day Gift Card - Δωροκάρτα - Αλεξανδρής Καταστήματα,https://alexandrisstores.gr/en/product/valentines-day-gift-card-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,125,2,,QUEUE_NEW
alteregofashion.gr,AlterEgo,Δωροκάρτα AlterEgo,https://alteregofashion.gr/en/product/gift-card/,125,2,,QUEUE_NEW
antithesisclothing.gr,Ηλεκτρονική Δωροκάρτα,Ηλεκτρονική Δωροκάρτα,https://antithesisclothing.gr/shop/dorokarta/,125,2,,QUEUE_NEW
armoniawellness.gr,Christmas Gift Cards,Christmas Gift Cards,https://www.armoniawellness.gr/christmas-gift-cards/,125,2,,QUEUE_NEW
badila.gr,Badila,Gift Card,https://www.badila.gr/en/giftcard/,125,2,,QUEUE_NEW
